value,type,question,a,b,c,d,e,truth
a,a,【Xia Bolong】被谁杀死的？,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,【Xia Bolong】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【Xia Bolong】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Xia Bolong】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【Xia Bolong】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【Xia Bolong】的两个人,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,【Xia Sanhu】被谁杀死的？,Yu Zu Chengmu,Xia Zhongpeng,Brother Li,Duan Yuetong,,b
b,a,【Xia Sanhu】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【Xia Sanhu】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【Xia Sanhu】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【Xia Sanhu】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【Xia Sanhu】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【Xia Sanhu】的两个人,Yu Zu Chengmu,Xia Zhongpeng,Brother Li,Duan Yuetong,,a
a,a,【Wu Baian】被谁杀死的？,Yu Zu Chengmu,Brother Li【Aming】,Yue Dongwen,Duan Yuetong,,b
b,a,【Wu Baian】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【Wu Baian】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Wu Baian】什么人？,仇人,同事,朋友,妻子,,a
b,a,【Wu Baian】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,Wu Baian家,,a
b,a,【Wu Baian】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【Wu Baian】的两个人,Yu Zu Chengmu,Brother Li【Aming】,Yue Dongwen,Duan Yuetong,,a
b,a,【Yu Zu Chengmu】先生是什么人？, “嘉善堂”医馆的Li Zicai的弟弟,日本商人,警察,【Brother Li】的朋友,,a
b,a,【Brother Li】和【Yu Zu Chengmu】先生是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【Yue Dongwen】在隐瞒什么？, 他的公司卖假药,Wu Baian卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是Duan Yuetong的亲生父亲,,b
c,a,【Yu Zu Chengmu】先生和【Xia Sanhu】不存在的关系是什么？,Xia Sanhu is schoolmate of Yu Zu Chengmu,Xia Sanhu is friend of Yu Zu Chengmu,Xia Sanhu is deceived by Yu Zu Chengmu,Yu Zu Chengmu is doctor of Xia Sanhu,,d
c,a,【Yu Zu Chengmu】先生和【Brother Li】(Aming)不存在的关系是什么？,Li Luoming is nephew of Yu Zu Chengmu,Li Luoming is manipulator of Yu Zu Chengmu,Li Luoming is quest companion of Yu Zu Chengmu,Yu Zu Chengmu is messenger of Li Luoming,,d
c,a,【Yu Zu Chengmu】和【Anqi】(你)不存在的关系是什么？,Anqi is helper of Yu Zu Chengmu,Anqi is product provider of Yu Zu Chengmu,Anqi is creditor of Yu Zu Chengmu,Yu Zu Chengmu is boyfriend of Anqi,,d
c,a,【Brother Li】(Aming)和【Xia Sanhu】不存在的关系是什么？,Xia Sanhu is superior of Li Luoming,Xia Sanhu is manipulated by Li Luoming,Xia Sanhu is deceived by Li Luoming,Li Luoming is co-wives of Xia Sanhu,,d
c,a,【Brother Li】(Aming)和【Yu Zu Chengmu】不存在的关系是什么？,Yu Zu Chengmu is uncle of Li Luoming,Yu Zu Chengmu is quest companion of Li Luoming,Yu Zu Chengmu is business partner of Li Luoming,Li Luoming is ex-romantic relationships with Yu Zu Chengmu,,d
c,a,【Brother Li】(Aming)和【Yue Dongwen】不存在的关系是什么？,Yue Dongwen is helper of Li Luoming,Yue Dongwen is employer of Li Luoming,Yue Dongwen is deceiver of Li Luoming,Li Luoming is twin brother of Yue Dongwen,,d
c,a,【Duan Yuetong】和【Yue Kesa】不存在的关系是什么？,Yue Kesa is friend of Duan Yuetong,Yue Kesa is helper of Duan Yuetong,Yue Kesa is informant of Duan Yuetong,Duan Yuetong is grandfather of Yue Kesa,,d
c,a,【Duan Yuetong】和【Bai Changgong】的关系是什么？,Bai Changgong is step-father and informant of Duan Yuetong,Duan Yuetong is dislike and superior of Bai Changgong,Duan Yuetong is superior and enemy of Bai Changgong,Duan Yuetong is enemy and victim of Bai Changgong,,a
c,a,【Duan Yuetong】和【Xia Sanhu】的关系是什么？,Xia Sanhu is subject of investigation for x and acquaintance of Duan Yuetong,Duan Yuetong is secret crush and son of Xia Sanhu,Duan Yuetong is son and fiancee of Xia Sanhu,Duan Yuetong is fiancee and brother in law of Xia Sanhu,,a
