value,type,question,a,b,c,d,e,truth
c,a,【于氏】和【甜愁】不存在的关系是什么？,甜愁 is friend of 于氏,甜愁 is helped by 于氏,甜愁 is betrayed by 于氏,于氏 is future son in law of 甜愁,,d
c,a,【于氏】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 于氏,于氏 is ex-wife and bully of 汪昔容,于氏 is bully and future mother in law of 汪昔容,于氏 is future mother in law and relative of 汪昔容,,a
c,a,【于氏】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 于氏,于氏 is father and adoptive sister of 汪昔颜,于氏 is adoptive sister and father in law of 汪昔颜,于氏 is father in law and boyfriend of 汪昔颜,,a
c,a,【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is in the lawsuit against 崔寿亨,,d
c,a,【周蒙当】和【汪昔颜】不存在的关系是什么？,汪昔颜 is friend of 周蒙当,汪昔颜 is ex-romantic relationships with 周蒙当,汪昔颜 is extramarital affair with 周蒙当,周蒙当 is master of 汪昔颜,,d
c,a,【周蒙当】和【宝柳】的关系是什么？,宝柳 is wife of 周蒙当,周蒙当 is business partner of 宝柳,周蒙当 is adoptive brother of 宝柳,周蒙当 is debtor of 宝柳,,a
c,a,【太太】和【宝柳】的关系是什么？,宝柳 is helped by x and servant of 太太,太太 is step-brother and subject of investigation for x of 宝柳,太太 is subject of investigation for x and future daughter in law of 宝柳,太太 is future daughter in law and unsuccessful helper of 宝柳,,a
c,a,【太太】和【汪昔颜】的关系是什么？,汪昔颜 is sister and co-wives of 太太,太太 is jealous by x and doctor of 汪昔颜,太太 is doctor and friend of 汪昔颜,太太 is friend and perpetrator of 汪昔颜,,a
c,a,【太太】和【汪舜明】的关系是什么？,汪舜明 is father of 太太,太太 is product provider of 汪舜明,太太 is perpetrator of 汪舜明,太太 is girlfriend of 汪舜明,,a
c,a,【崔寿亨】和【周蒙当】不存在的关系是什么？,周蒙当 is minion of 崔寿亨,周蒙当 is servant of 崔寿亨,周蒙当 is employee of 崔寿亨,崔寿亨 is ex-husband of 周蒙当,,d
c,a,【崔寿亨】和【周持同】不存在的关系是什么？,周持同 is helped by 崔寿亨,周持同 is thief of 崔寿亨,周持同 is business partner of 崔寿亨,崔寿亨 is elder brother of 周持同,,d
c,a,【崔寿亨】和【汪昔颜】的关系是什么？,汪昔颜 is sister in law and wife of 崔寿亨,崔寿亨 is victim and adversary of 汪昔颜,崔寿亨 is adversary and helper of 汪昔颜,崔寿亨 is helper and murderer of 汪昔颜,,a
c,a,【甜愁】和【宝柳】不存在的关系是什么？,宝柳 is friend of 甜愁,宝柳 is helper of 甜愁,宝柳 is 甜愁's enemy's family,甜愁 is service provider of 宝柳,,d
c,a,【甜愁】和【周持同】不存在的关系是什么？,周持同 is helper of 甜愁,周持同 is 甜愁's enemy's family,周持同 is informant of 甜愁,甜愁 is business partner of 周持同,,d
c,a,【甜愁】和【周蒙当】不存在的关系是什么？,周蒙当 is enemy of 甜愁,周蒙当 is perpetrator of 甜愁,周蒙当 is perpetrator of 甜愁's family,甜愁 is student of 周蒙当,,d
