value,type,question,a,b,c,d,e,truth
a,a,Who killed Lin Weiren?,Lin Xi,Lin Yang,Su Yang,Shen Cheng,,c
b,a,How did Lin Weiren die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer's murder of Lin Weiren?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim [Lin Weiren]. Who is it?,Son,father,lawyer,Superior,,d
b,a,Where was Lin Weiren killed?,study,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Lin Weiren,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Gu Yu,c
a,a,Who killed Gu Minghe?,Lin Xi,Lin Xi,Su Yang,Shen Cheng,,b
b,a,How did Gu Minghe die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing Gu Minghe?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Gu Minghe. Who is that?,Son,father,lawyer,Enemies,,d
b,a,Where was Gu Minghe killed?,Office building,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Gu Minghe,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Lin Xi,e
c,a,What is the non-existent relationship between Lin Xi and Gu Qing?,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is aunt of Gu Qing,,d
c,a,What is the relationship between Lin Xi and Lin Yang?,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is service provider and admirer of Lin Yang,Lin Xi is admirer and helped by x of Lin Yang,Lin Xi is helped by x and debtor of Lin Yang,,a
c,a,What is the relationship between Lin Xi and Chen Jingwen?,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is customer and admirer of Chen Jingwen,Lin Xi is admirer and future father in law of Chen Jingwen,Lin Xi is future father in law and grandfather of Chen Jingwen,,a
c,a,What is the non-existent relationship between Lin Weiren and Shen Cheng?,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is mother of Shen Cheng,,d
c,a,What is the non-existent relationship between Lin Weiren and Su Yang?,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is host of Su Yang,,d
c,a,What is the relationship between Lin Weiren and Lin Yang?,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is creditor and debtor of Lin Yang,Lin Weiren is debtor and secret lover of Lin Yang,Lin Weiren is secret lover and colleague of Lin Yang,,a
c,a,What is the non-existent relationship between Gu Yu and Lin Xi?,Lin Xi is ex-girlfriend of Gu Yu,Lin Xi is fondness of Gu Yu,Lin Xi is friend of Gu Yu,Gu Yu is betrayer of Lin Xi,,d
c,a,What is the relationship between Gu Yu and Chen Jingwen?,Chen Jingwen is romantic relationships with x and hate of Gu Yu,Gu Yu is superior and employer of Chen Jingwen,Gu Yu is employer and sister of Chen Jingwen,Gu Yu is sister and mother of Chen Jingwen,,a
c,a,What is the relationship between Gu Yu and Gu Minghe?,Gu Minghe is father and superior of Gu Yu,Gu Yu is sworn brother and co-wives of Gu Minghe,Gu Yu is co-wives and perpetrator 's family of Gu Minghe,Gu Yu is perpetrator 's family and secret admirer of Gu Minghe,,a
c,a,What is the relationship between Gu Minghe and Gu Yu?,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is concubine and victim of Gu Yu,Gu Minghe is victim and saviour of Gu Yu,Gu Minghe is saviour and enemy of Gu Yu,,a
c,a,What is the relationship between Gu Minghe and Shen Cheng?,Shen Cheng is hate of Gu Minghe,Gu Minghe is son of Shen Cheng,Gu Minghe is nephew of Shen Cheng,Gu Minghe is secret admirer of Shen Cheng,,a
c,a,What is the relationship between Gu Minghe and Gu Qing?,Gu Qing is daughter of Gu Minghe,Gu Minghe is saved by Gu Qing,Gu Minghe is perpetrator of Gu Qing,Gu Minghe is rebellion against Gu Qing,,a
