value,type,question,a,b,c,d,e,truth
a,a,Zhao Cishan被谁杀死的？,Zhang Villager,Chief Wang,Hu Investigate,,,b
b,a,Zhao Cishan是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,用枪打死的,,c
b,a,凶手杀Zhao Cishan的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Zhao Cishan什么人？,儿子,父亲,律师,仇人,,d
b,a,Zhao Cishan是在哪里被杀死的？,在他自己家里,在岸上,甲板上,河边,,a
b,a,Zhao Cishan是什么时候被杀死的？,2032年5月14日晚上九点多,2032年5月1日白天,2032年5月14日凌晨,2032年5月14日白天,,a
b,b,请选出你最怀疑杀死Zhao Cishan的两个人,Zhang Villager,Chief Wang,Hu Investigate,自杀,,b
b,a,杀人狂是谁？,Zhang Villager,Chief Wang,Hu Investigate,,,a
c,a,【Zhao Cishan】和【Officer Li】的关系是什么？,Officer Li is attempted murderer and dislike of Zhao Cishan,Zhao Cishan is adoptive sister and twin sister of Officer Li,Zhao Cishan is twin sister and admired by x of Officer Li,Zhao Cishan is admired by x and informant of Officer Li,,a
c,a,【Zhao Cishan】和【Hu Investigate】的关系是什么？,Hu Investigate is hate and dislike of Zhao Cishan,Zhao Cishan is romantic relationships with x and tour guide of Hu Investigate,Zhao Cishan is tour guide and guest of Hu Investigate,Zhao Cishan is guest and minion of Hu Investigate,,a
c,a,【Zhao Cishan】和【Chief Wang】的关系是什么？,Chief Wang is hate and murderer of Zhao Cishan,Zhao Cishan is daughter and lover of Chief Wang,Zhao Cishan is lover and adoptive son of Chief Wang,Zhao Cishan is adoptive son and step-mother of Chief Wang,,a
