value,type,question,a,b,c,d,e,truth
a,a,【Xia Bolong】被谁杀死的？,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,【Xia Bolong】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【Xia Bolong】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Xia Bolong】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【Xia Bolong】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【Xia Bolong】的两个人,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,【Xia Sanhu】被谁杀死的？,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,b
b,a,【Xia Sanhu】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【Xia Sanhu】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【Xia Sanhu】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【Xia Sanhu】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【Xia Sanhu】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【Xia Sanhu】的两个人,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,a
a,a,【Wu Baian】被谁杀死的？,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,b
b,a,【Wu Baian】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【Wu Baian】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Wu Baian】什么人？,仇人,同事,朋友,妻子,,a
b,a,【Wu Baian】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,Wu Baian家,,a
b,a,【Wu Baian】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【Wu Baian】的两个人,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,a
b,a,骗【Xia Sanhu】买假货的人是谁？,Yu Zu Chengmu和Aming,Duan Yuetong,孟老爷,Wu Baian,,a
b,b,是谁拿走了黄金奖牌？,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,a
b,a,【Xia Sanhu】如何染上赌瘾？,被【Yu Zu Chengmu】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【Aming】和【Yu Zu Chengmu】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【Yue Kesa】最近在做什么？,赌博,做生意,拳馆学拳,研发药物,,c
b,a,【Xia Shue】和【Yue Kesa】的关系怎么样？,生意伙伴,师徒,敌人,恋人,,b
b,a,【Xia Shue】为什么做“实习护士”？,探寻父亲死亡的真相,挣钱,个人兴趣爱好,家里人的安排,,a
c,a,【Wu Baian】和【Li Zicai】的关系是什么？,Li Zicai is schoolmate and quest companion of Wu Baian,Wu Baian is half brother and child of Li Zicai,Wu Baian is child and colleague of Li Zicai,Wu Baian is colleague and elder sister of Li Zicai,,a
c,a,【Wu Baian】和【Xia Shue】的关系是什么？,Xia Shue is colleague and information receiver from x of Wu Baian,Wu Baian is x's victim's family and murderer of Xia Shue,Wu Baian is murderer and suspicious of Xia Shue,Wu Baian is suspicious and x's enemy's family of Xia Shue,,a
c,a,【Wu Baian】和【Li Luoming】的关系是什么？,Li Luoming is murderer of Wu Baian,Wu Baian is future son in law of Li Luoming,Wu Baian is adoptive mother of Li Luoming,Wu Baian is schoolmate of Li Luoming,,a
c,a,【Xia Sanhu】和【Luo Ming】不存在的关系是什么？,Luo Ming is student of Xia Sanhu,Luo Ming is subordinate of Xia Sanhu,Luo Ming is victim of Xia Sanhu,Xia Sanhu is granddaughter of Luo Ming,,d
