value,type,question,a,b,c,d,e,truth
a,a,父亲【林惟仁】被谁杀死的？,林阳,沈城,苏阳,陈静雯,,c
b,a,父亲【林惟仁】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀父亲【林惟仁】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人父亲【林惟仁】什么人？,儿子,父亲,律师,上级,,d
b,a,父亲【林惟仁】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死父亲【林惟仁】的两个人,林阳,沈城,苏阳,陈静雯,顾宇,c
c,a,【林惟仁】和【沈城】不存在的关系是什么？,沈城 is employee of 林惟仁,沈城 is hate of 林惟仁,沈城 is servant of 林惟仁,林惟仁 is step-brother of 沈城,,d
c,a,【林惟仁】和【苏阳】不存在的关系是什么？,苏阳 is student of 林惟仁,苏阳 is dislike of 林惟仁,苏阳 is hate of 林惟仁,林惟仁 is customer of 苏阳,,d
c,a,【林惟仁】和【林阳】的关系是什么？,林阳 is son and adoptive son of 林惟仁,林惟仁 is subordinate and seeker of help from x of 林阳,林惟仁 is seeker of help from x and schoolmate of 林阳,林惟仁 is schoolmate and adversary of 林阳,,a
c,a,【沈城】和【林惟仁】不存在的关系是什么？,林惟仁 is master of 沈城,林惟仁 is victim of 沈城,林惟仁 is employer of 沈城,沈城 is step-son of 林惟仁,,d
c,a,【沈城】和【林夕】的关系是什么？,林夕 is master of 沈城,沈城 is enemy of 林夕,沈城 is crime partner of 林夕,沈城 is 林夕's enemy's family,,a
c,a,【沈城】和【林阳】的关系是什么？,林阳 is master of 沈城,沈城 is fondness of 林阳,沈城 is victim of 林阳,沈城 is brother of 林阳,,a
