value,type,question,a,b,c,d,e,truth
a,a,【Xia Bolong】被谁杀死的？,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,【Xia Bolong】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【Xia Bolong】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Xia Bolong】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【Xia Bolong】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【Xia Bolong】的两个人,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,【Xia Sanhu】被谁杀死的？,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,b
b,a,【Xia Sanhu】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【Xia Sanhu】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【Xia Sanhu】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【Xia Sanhu】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【Xia Sanhu】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【Xia Sanhu】的两个人,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,a
a,a,【Wu Baian】被谁杀死的？,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,b
b,a,【Wu Baian】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【Wu Baian】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Wu Baian】什么人？,仇人,同事,朋友,妻子,,a
b,a,【Wu Baian】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,Wu Baian家,,a
b,a,【Wu Baian】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【Wu Baian】的两个人,Yu Zu Chengmu,Aming,Yue Dongwen,Duan Yuetong,,a
b,a,【Anqi】对自己【Yu Zu Chengmu】是什么态度?, 她喜欢自己,她只是习惯性依赖年长的男性,她讨厌自己,她只是因为自己是Aming的朋友才把自己当朋友,,d
b,a,【Yue Dongwen】在隐瞒什么？, 他的公司卖假药,Wu Baian卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是Duan Yuetong的亲生父亲,,b
c,a,【Anqi】(Lan Qin)和【Yu Zu Chengmu】不存在的关系是什么？,Yu Zu Chengmu is customer of Lan Qin,Yu Zu Chengmu is helped by Lan Qin,Yu Zu Chengmu is debtor of Lan Qin,Lan Qin is step-father of Yu Zu Chengmu,,d
c,a,【Anqi】(Lan Qin)和【Yi Lianzhi】的关系是什么？,Yi Lianzhi is mother of Lan Qin,Lan Qin is dislike of Yi Lianzhi,Lan Qin is saved by Yi Lianzhi,Lan Qin is messenger of Yi Lianzhi,,a
c,a,【Anqi】(Lan Qin)和【A'e】的关系是什么？,A'e is brother of Lan Qin,Lan Qin is helper of A'e,Lan Qin is co-wives of A'e,Lan Qin is manipulated by A'e,,a
c,a,【Xia Sanhu】和【Aming】(Li Luoming)不存在的关系是什么？,Luo Ming is student of Xia Sanhu,Luo Ming is subordinate of Xia Sanhu,Luo Ming is victim of Xia Sanhu,Xia Sanhu is secret admirer of Luo Ming,,d
c,a,【Xia Sanhu】和【Yu Zu Chengmu】不存在的关系是什么？,Yu Zu Chengmu is creditor of Xia Sanhu,Yu Zu Chengmu is deceiver of Xia Sanhu,Yu Zu Chengmu is victim of Xia Sanhu,Xia Sanhu is son in law of Yu Zu Chengmu,,d
c,a,【Xia Sanhu】和【Xia Beigui】的关系是什么？,Xia Beigui is father and mentor of Xia Sanhu,Xia Sanhu is rival in love and admirer of Xia Beigui,Xia Sanhu is admirer and ex-wife of Xia Beigui,Xia Sanhu is ex-wife and adversary of Xia Beigui,,a
c,a,【Aming】(Li Luoming)和【Xia Sanhu】不存在的关系是什么？,Xia Sanhu is superior of Li Luoming,Xia Sanhu is manipulated by Li Luoming,Xia Sanhu is deceived by Li Luoming,Li Luoming is friend of Xia Sanhu,,d
c,a,【Aming】(Li Luoming)和【Yu Zu Chengmu】不存在的关系是什么？,Yu Zu Chengmu is uncle of Li Luoming,Yu Zu Chengmu is quest companion of Li Luoming,Yu Zu Chengmu is business partner of Li Luoming,Li Luoming is hate of Yu Zu Chengmu,,d
c,a,【Aming】(Li Luoming)和【Yue Dongwen】不存在的关系是什么？,Yue Dongwen is helper of Li Luoming,Yue Dongwen is employer of Li Luoming,Yue Dongwen is deceiver of Li Luoming,Li Luoming is younger sister of Yue Dongwen,,d
