value,type,question,a,b,c,d,e,truth
a,a,Miss Li【Li Yu】(太太)被谁杀死的？,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
b,a,Miss Li【Li Yu】(太太)是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀Miss Li【Li Yu】(太太)的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Miss Li【Li Yu】(太太)什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,Miss Li【Li Yu】(太太)是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城自家的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,b
b,a,Miss Li【Li Yu】(太太)是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死Miss Li【Li Yu】(太太)的两个人,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
a,a,你的妻子是被谁杀死的？,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
b,a,你的妻子是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀你的妻子的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人（你的妻子）的什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,你的妻子是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城自家的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,b
b,a,你的妻子是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死你的妻子的两个人,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
b,a,【Yin Shaoming】是什么人？,黑狼会的人,误以为Zhao Luoyi被绑架了，不放心而跟过来的热心人,自己的表外甥,Zhao Wanlei的下属,,c
b,a,【Yin Shaoming】和【Feng Shuangji】(你)是什么关系？,Yin Shaoming是Feng Shuangji的女婿,Yin Shaoming和Feng Shuangji是陌生人,Yin Shaoming的外公是Feng Shuangji的师父,Yin Shaoming和Feng Shuangji都是黑狼会的人,,c
b,a,小姐【Zhao Luoyi】是怎么落入黑狼会手里的？,黑狼会的人绑架Zhao Luoyi，以此来威胁Zhao Wanlei,Zhao Luoyi因为宣传男女平权被警方逮捕了,Zhao Luoyi因在宣传男女平权时误入杀人犯的别墅被警方误捕了,Zhao Luoyi是黑狼会的一员,,c
b,a,【Zhao Qiuer】和【Qi Yue】实际上是什么关系？,兄妹,仇人,徒弟,父女,,a
b,a,【Zhao Qiuer】和【Zhao Wanlei】实际上是什么关系？,【Zhao Qiuer】单方面喜欢【Zhao Wanlei】,【Zhao Wanlei】单方面喜欢【Zhao Qiuer】,【Zhao Wanlei】只是开玩笑要娶【Zhao Qiuer】,【Zhao Wanlei】和【Zhao Qiuer】两情相悦,,d
b,a,【Shuang Mian Hu】是谁？,Qi Yue,Zhao Wanlei,Guo Wangshan,Liao Laoban,,c
b,a,【Guo Wangshan】来丹水山庄有什么目的？,毁掉赵家,和Zhao Wanlei谈生意,向Zhao Wanlei提亲,找出当年爆炸案的真相,,a
c,a,【Yin Shaoming】和小姐【Zhao Luoyi】的关系是什么？,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is x's enemy's family and aunt of Zhao Luoyi,Yin Shaoming is aunt and adoptive daughter of Zhao Luoyi,Yin Shaoming is adoptive daughter and subject of investigation for x of Zhao Luoyi,,a
c,a,【Yin Shaoming】和【Yu Beichen】的关系是什么？,Yu Beichen is father of Yin Shaoming,Yin Shaoming is servant of Yu Beichen,Yin Shaoming is superior of Yu Beichen,Yin Shaoming is unsuccessful helper of Yu Beichen,,a
c,a,【Yin Shaoming】和【Ren】的关系是什么？,Ren is mother of Yin Shaoming,Yin Shaoming is boyfriend of Ren,Yin Shaoming is quest companion of Ren,Yin Shaoming is deceived by Ren,,a
c,a,【Zhao Wanlei】和【Feng Shuangji】(你)不存在的关系是什么？,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is child of Feng Shuangji,,d
c,a,【Zhao Wanlei】和【Guo Wangshan】不存在的关系是什么？,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is cousin of Guo Wangshan,,d
c,a,【Zhao Wanlei】和【Qi Yue】不存在的关系是什么？,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is grandchild of Qi Yue,,d
c,a,小姐【Zhao Luoyi】和【Zhao Wanlei】的关系是什么？,Feng Shuangji is father of Zhao Luoyi,Zhao Luoyi is thief of Feng Shuangji,Zhao Luoyi is spy of Feng Shuangji,Zhao Luoyi is ex-romantic relationships with Feng Shuangji,,a
c,a,小姐【Zhao Luoyi】和【Feng Shuangji】(你)的关系是什么？,Feng Shuangji is father of Zhao Luoyi,Zhao Luoyi is thief of Feng Shuangji,Zhao Luoyi is spy of Feng Shuangji,Zhao Luoyi is ex-romantic relationships with Feng Shuangji,,a
c,a,小姐【Zhao Luoyi】和Miss Li【Li Yu】(太太)的关系是什么？,Li Yu is mother of Zhao Luoyi,Zhao Luoyi is spy of Li Yu,Zhao Luoyi is hate of Li Yu,Zhao Luoyi is service provider of Li Yu,,a
