value,type,question,a,b,c,d,e,truth
a,a,大哥【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,大哥【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀大哥【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人大哥【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,大哥【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死大哥【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,阿明【骆明】,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,bb
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,阿明【骆明】,岳东汶,段约同,,a
b,a,三弟【夏三虎】和【宇祖成木】是什么关系?, 三弟【夏三虎】被【宇祖成木】设下圈套骗了钱,三弟【夏三虎】和【宇祖成木】是好朋友,【宇祖成木】是三弟【夏三虎】的徒弟,【宇祖成木】是三弟【夏三虎】的上司,,c
b,a, 是谁在夏三虎房里偷袭了阿娥【夏叔娥】?, 夏三虎,宇祖成木,阿明【骆明】,段约同,,b
b,a,【内宅】库房里的家具是怎么来的?, 三弟【夏三虎】被人骗了买的假货,大正天皇的寿辰大典礼物,【宇祖成木】寄存的,三弟【夏三虎】买来自己用的,,a
b,a,【段约同】的亲生父亲是谁？,大哥【夏伯龙】,夏仲鹏,夏三虎,李子材,,a
b,b,是谁拿走了黄金奖牌？,宇祖成木,阿明【骆明】,岳东汶,段约同,,a
b,a,三弟【夏三虎】如何染上赌瘾？,被【宇祖成木】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【宇祖成木】是什么人？, “嘉善堂”医馆的李子材的弟弟,田吉株式会社的创办人,夏三虎的日本人同学,【夏伯龙】的私生子,,a
b,a,阿明【骆明】和【宇祖成木】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,阿明【骆明】的真实身份是什么？, 大哥【夏伯龙】的私生子,在码头工作的孤儿骆明,“嘉善堂”医馆的李子材的儿子,【宇祖成木】的眼线,,c
b,a,【岳东汶】在隐瞒什么？, 他的公司卖假药,吴百安卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是段约同的亲生父亲,,b
c,a,三弟【夏三虎】和【骆明】不存在的关系是什么？,骆明 is student of 夏三虎,骆明 is subordinate of 夏三虎,骆明 is victim of 夏三虎,夏三虎 is possibly family of 骆明,,d
c,a,三弟【夏三虎】和【宇祖成木】不存在的关系是什么？,宇祖成木 is creditor of 夏三虎,宇祖成木 is deceiver of 夏三虎,宇祖成木 is victim of 夏三虎,夏三虎 is friend of 宇祖成木,,d
c,a,三弟【夏三虎】和【夏北归】的关系是什么？,夏北归 is father and mentor of 夏三虎,夏三虎 is subject of investigation for x and ex-romantic relationships with x of 夏北归,夏三虎 is ex-romantic relationships with x and patient of 夏北归,夏三虎 is patient and suspect to x of 夏北归,,a
c,a,阿娥【夏叔娥】和【夏仲鹏】不存在的关系是什么？,夏仲鹏 is uncle of 夏叔娥,夏仲鹏 is mentor of 夏叔娥,夏仲鹏 is helper of 夏叔娥,夏叔娥 is romantic relationships with 夏仲鹏,,d
c,a,阿娥【夏叔娥】和三弟【夏三虎】不存在的关系是什么？,夏三虎 is uncle of 夏叔娥,夏三虎 is mentor of 夏叔娥,夏三虎 is helper of 夏叔娥,夏叔娥 is spy of 夏三虎,,d
c,a,阿娥【夏叔娥】和【骆明】不存在的关系是什么？,骆明 is student of 夏叔娥,骆明 is friend of 夏叔娥,骆明 is perpetrator of 夏叔娥,夏叔娥 is future son in law of 骆明,,d
c,a,【宇祖成木】和三弟【夏三虎】不存在的关系是什么？,夏三虎 is schoolmate of 宇祖成木,夏三虎 is friend of 宇祖成木,夏三虎 is deceived by 宇祖成木,宇祖成木 is future father in law of 夏三虎,,d
c,a,【宇祖成木】和阿明【李骆明】不存在的关系是什么？,李骆明 is nephew of 宇祖成木,李骆明 is manipulator of 宇祖成木,李骆明 is quest companion of 宇祖成木,宇祖成木 is employer of 李骆明,,d
c,a,【宇祖成木】和【安琪】不存在的关系是什么？,安琪 is helper of 宇祖成木,安琪 is product provider of 宇祖成木,安琪 is creditor of 宇祖成木,宇祖成木 is secret lover of 安琪,,d
