value,type,question,a,b,c,d,e,truth
a,a,【Xia Bolong】被谁杀死的？,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,【Xia Bolong】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【Xia Bolong】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Xia Bolong】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【Xia Bolong】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【Xia Bolong】的两个人,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,【Xia Sanhu】被谁杀死的？,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,b
b,a,【Xia Sanhu】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【Xia Sanhu】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【Xia Sanhu】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【Xia Sanhu】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【Xia Sanhu】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【Xia Sanhu】的两个人,Yu Zu Chengmu,Xia Zhongpeng,Aming,Duan Yuetong,,a
b,a,【Yue Dongwen】在隐瞒什么？, 他的公司卖假药,【Wu Baian】(白发阿伯)卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是Duan Yuetong的亲生父亲,,b
b,a,【Duan Yuetong】的亲生父亲是谁？,【Xia Bolong】,Xia Zhongpeng,Xia Sanhu,Li Zicai,,a
b,a,【Yu Zu Chengmu】（Li Zijun）为什么去日本？, 赌博,工作,骗钱,读书,,d
b,a,【Anqi】为什么来拳馆？, 阻止【Xia Sanhu】强迫【Xia Shue】嫁给【Yu Zu Chengmu】(Li Zijun)先生,寻找哥哥,想见自己,想见【Duan Yuetong】,,ac
c,a,【Xia Sanhu】和【Luo Ming】不存在的关系是什么？,Luo Ming is student of Xia Sanhu,Luo Ming is subordinate of Xia Sanhu,Luo Ming is victim of Xia Sanhu,Xia Sanhu is father of Luo Ming,,d
c,a,【Xia Sanhu】和【Yu Zu Chengmu】(Li Zijun)不存在的关系是什么？,Yu Zu Chengmu is creditor of Xia Sanhu,Yu Zu Chengmu is deceiver of Xia Sanhu,Yu Zu Chengmu is victim of Xia Sanhu,Xia Sanhu is helped by Yu Zu Chengmu,,d
c,a,【Xia Sanhu】和【Xia Beigui】的关系是什么？,Xia Beigui is father and mentor of Xia Sanhu,Xia Sanhu is authority over x and rival of Xia Beigui,Xia Sanhu is rival and attempted perpetrator of Xia Beigui,Xia Sanhu is attempted perpetrator and boyfriend of Xia Beigui,,a
c,a,【Yu Zu Chengmu】(Li Zijun)和【Xia Sanhu】不存在的关系是什么？,Xia Sanhu is schoolmate of Yu Zu Chengmu,Xia Sanhu is friend of Yu Zu Chengmu,Xia Sanhu is deceived by Yu Zu Chengmu,Yu Zu Chengmu is fiance of Xia Sanhu,,d
c,a,【Yu Zu Chengmu】(Li Zijun)和【Li Luoming】不存在的关系是什么？,Li Luoming is nephew of Yu Zu Chengmu,Li Luoming is manipulator of Yu Zu Chengmu,Li Luoming is quest companion of Yu Zu Chengmu,Yu Zu Chengmu is wife of Li Luoming,,d
c,a,【Yu Zu Chengmu】(Li Zijun)和【Anqi】不存在的关系是什么？,Anqi is helper of Yu Zu Chengmu,Anqi is product provider of Yu Zu Chengmu,Anqi is creditor of Yu Zu Chengmu,Yu Zu Chengmu is future daughter in law of Anqi,,d
c,a,【Bai Changgong】和【Yue Dongwen】不存在的关系是什么？,Yue Dongwen is acquaintance of Bai Changgong,Yue Dongwen is product provider of Bai Changgong,Yue Dongwen is creditor of Bai Changgong,Bai Changgong is ex-wife of Yue Dongwen,,d
c,a,【Bai Changgong】和【Li Luoming】的关系是什么？,Li Luoming is service provider and perpetrator of Bai Changgong,Bai Changgong is saviour and grandchild of Li Luoming,Bai Changgong is grandchild and mother of Li Luoming,Bai Changgong is mother and daughter in law of Li Luoming,,a
c,a,【Bai Changgong】和【Duan Hejun】的关系是什么？,Duan Hejun is wife and superior of Bai Changgong,Bai Changgong is schoolmate and brother in law of Duan Hejun,Bai Changgong is brother in law and adoptive sister of Duan Hejun,Bai Changgong is adoptive sister and future relative of Duan Hejun,,a
