value,type,question,a,b,c,d,e,truth
a,a,【Lv Mingran】被谁杀死的？,Shang Zhi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
b,a,【Lv Mingran】是怎么死的？,用麻醉药麻醉后吊死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lv Mingran】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Lv Mingran】什么人？,合作关系,父亲,舅舅,律师,,a
b,a,【Lv Mingran】是在哪里被杀死的？,一层大厅上方,在楼顶,山上,河边,,a
b,a,【Lv Mingran】是什么时候被杀死的？,9.28号10点左右,9.28号9点左右,9.25号,9.24号,,a
b,b,请选出你最怀疑杀死【Lv Mingran】的两个人,Shang Zhi,Mrs. Tan,Cheng Ge,Mrs. Wei,Liao Gongzi,a
a,a,【A masked female corpse】被谁杀死的？,Shang Zhi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
a,a,【A masked female corpse】是谁？,Hong Er,仆人,Dr. Zhan,Julie,,a
b,a,【A masked female corpse】是怎么死的？,用枪杀死的,被拳头打死的,用绳子勒死的,被水淹死的,,c
b,a,凶手杀【A masked female corpse】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【A masked female corpse】什么人？,小时候熟人,母亲,律师,医生,,a
b,a,【A masked female corpse】是在哪里被杀死的？,Liao Gongzi房,储物室,河边,山上,,a
b,a,【A masked female corpse】是什么时候被杀死的？,9.28号9点左右,9.25号,9.24号,10月,,a
b,b,请选出你最怀疑杀死【A masked female corpse】的两个人,Shang Zhi,Liao Gongzi,Mrs. Wei,Mrs. Tan,Cheng Ge,a
a,a,【Tan Renchang】被谁杀死的？,Liao Gongzi,Mrs. Tan,Mrs. Wei,Cheng Ge,,a
b,a,【Tan Renchang】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【Tan Renchang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Tan Renchang】什么人？,仇人,母亲,律师,医生,,a
b,a,【Tan Renchang】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,a,【Tan Renchang】是什么时候被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【Tan Renchang】的两个人,Liao Gongzi,Cheng Ge,Mrs. Wei,Mrs. Tan,Shang Zhi,a
b,a,【Shang Zhi】和【Zina】真正的关系是什么？,【Shang Zhi】喜欢【Zina】并帮她还债,【Shang Zhi】在利用【Zina】,【Shang Zhi】和【Zina】没有关系,【Shang Zhi】和【Zina】是兄妹,,a
