value,type,question,a,b,c,d,e,truth
a,a,【李郁】被谁杀死的？,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,【李郁】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀【李郁】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【李郁】什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,【李郁】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里里,汉阳的兵工厂,赵万雷的卧室里,,b
b,a,【李郁】是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死【李郁】的两个人,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
a,a,【赵万雷】被谁杀死的？,冯双骥,郭忘山,赵卫,齐岳,,a
b,a,【赵万雷】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀【赵万雷】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【赵万雷】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,【赵万雷】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,d
b,b,请选出你最怀疑杀死【赵万雷】的两个人,任师父,冯双骥,郭忘山,赵卫,齐岳,a
b,a,女子【赵洛意】是怎么落入黑狼会手里的？,黑狼会的人绑架赵洛意，以此来威胁赵万雷,赵洛意因为宣传男女平权被警方逮捕了,赵洛意因在宣传男女平权时误入杀人犯的别墅被警方误捕了,赵洛意是黑狼会的一员,,c
b,a,绑架赵洛意的真相是什么?,赵洛意没有被绑架，是她自己带着手下出行," ""赵洛意没有被绑架，是冯双骥派手下去接赵洛意回家""",赵洛意假装被人绑架，以此来脱离赵万雷的掌控,赵洛意被黑狼会的人绑架，以此来威胁赵万雷,,b
b,a,谁是女子【赵洛意】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,赵万雷,郭忘山,冯双骥,赵卫,,c
b,a,【尹少鸣】你和【冯双骥】是什么关系？,尹少鸣是冯双骥的女婿,尹少鸣和冯双骥是陌生人,尹少鸣的外公是冯双骥的师父,尹少鸣和冯双骥都是黑狼会的人,,c
b,a,【赵秋儿】和【齐岳】实际上是什么关系？,兄妹,仇人,徒弟,父女,,a
b,a,【赵秋儿】和【赵万雷】实际上是什么关系？,【赵秋儿】单方面喜欢【赵万雷】,【赵万雷】单方面喜欢【赵秋儿】,【赵万雷】只是开玩笑要娶【赵秋儿】,【赵万雷】和【赵秋儿】两情相悦,,d
b,a,【双面虎】是谁？,齐岳,赵万雷,郭忘山,廖老板,,c
b,a,你是否曾经见过【郭忘山】？,没有见过,见过，是外公的徒弟，为廖氏商行做事,见过，是劫持赵洛意的人之一,见过，是丹水山庄的人,,b
b,a,【郭忘山】来丹水山庄有什么目的？,毁掉赵家,和赵万雷谈生意,向赵万雷提亲,找出当年爆炸案的真相,,a
c,a,【冯双骥】和【赵万雷】不存在的关系是什么？,冯双骥 is victim of 赵万雷,冯双骥 is schoolmate of 赵万雷,冯双骥 is employer of 赵万雷,冯双骥 is grandmother of 赵万雷,,d
c,a,【冯双骥】和【任师父】的关系是什么？,冯双骥 is mentor and adoptive father of 任师父,冯双骥 is adversary and subject of investigation for x of 任师父,冯双骥 is subject of investigation for x and servant of 任师父,冯双骥 is servant and tour guide of 任师父,,a
c,a,【冯双骥】和【赵卫】的关系是什么？,冯双骥 is helped by x and master of 赵卫,冯双骥 is hate and possibly family of 赵卫,冯双骥 is possibly family and boyfriend of 赵卫,冯双骥 is boyfriend and father of 赵卫,,a
c,a,女子【赵洛意】和【冯双骥】的关系是什么？,赵洛意 is father of 冯双骥,赵洛意 is in the lawsuit against 冯双骥,赵洛意 is colleague of 冯双骥,赵洛意 is host of 冯双骥,,a
c,a,女子【赵洛意】和【李郁】的关系是什么？,赵洛意 is mother of 李郁,赵洛意 is secret crush of 李郁,赵洛意 is suspicious of 李郁,赵洛意 is customer of 李郁,,a
c,a,女子【赵洛意】和【赵万雷】的关系是什么？,赵洛意 is father of 赵万雷,赵洛意 is jealous of 赵万雷,赵洛意 is ex-husband of 赵万雷,赵洛意 is fiancee of 赵万雷,,a
a,a,李家小姐【李郁】(太太)被谁杀死的？,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,李家小姐【李郁】(太太)是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀李家小姐【李郁】(太太)的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人李家小姐【李郁】(太太)什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,李家小姐【李郁】(太太)是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城自家的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,b
b,a,李家小姐【李郁】(太太)是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
