value,type,question,a,b,c,d,e,truth
a,a,【Lin Weiren】被谁杀死的？,Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,,c
b,a,【Lin Weiren】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lin Weiren】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Lin Weiren】什么人？,儿子,父亲,律师,上级,,d
b,a,【Lin Weiren】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Lin Weiren】的两个人,Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,Gu Yu,c
a,a,父亲【Gu Minghe】被谁杀死的？,Lin Yang,Lin Xi,Su Yang,Chen Jingwen,,b
b,a,父亲【Gu Minghe】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀父亲【Gu Minghe】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人父亲【Gu Minghe】什么人？,儿子,父亲,律师,仇人,,d
b,a,父亲【Gu Minghe】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死父亲【Gu Minghe】的两个人,Lin Yang,Shen Cheng,Su Yang,Chen Jingwen,Lin Xi,e
c,a,【Lin Xi】和【Gu Qing】不存在的关系是什么？,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is step-sister of Gu Qing,,d
c,a,【Lin Xi】和【Lin Yang】的关系是什么？,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is business partner and ex-romantic relationships with x of Lin Yang,Lin Xi is ex-romantic relationships with x and neighbour of Lin Yang,Lin Xi is neighbour and secret admirer of Lin Yang,,a
c,a,【Lin Xi】和【Chen Jingwen】的关系是什么？,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is uncle and ex-husband of Chen Jingwen,Lin Xi is ex-husband and son of Chen Jingwen,Lin Xi is son and employer of Chen Jingwen,,a
c,a,【Lin Weiren】和【Shen Cheng】不存在的关系是什么？,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is secret crush of Shen Cheng,,d
c,a,【Lin Weiren】和【Su Yang】不存在的关系是什么？,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is adoptive mother of Su Yang,,d
c,a,【Lin Weiren】和【Lin Yang】的关系是什么？,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is guest and secret admirer of Lin Yang,Lin Weiren is secret admirer and sworn brother of Lin Yang,Lin Weiren is sworn brother and rival in love of Lin Yang,,a
c,a,【Gu Minghe】和【Gu Yu】的关系是什么？,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is saved by x and x's enemy's family of Gu Yu,Gu Minghe is x's enemy's family and student of Gu Yu,Gu Minghe is student and rival of Gu Yu,,a
c,a,【Gu Minghe】和【Shen Cheng】的关系是什么？,Shen Cheng is hate of Gu Minghe,Gu Minghe is son of Shen Cheng,Gu Minghe is business partner of Shen Cheng,Gu Minghe is father of Shen Cheng,,a
c,a,【Gu Minghe】和【Gu Qing】的关系是什么？,Gu Qing is daughter of Gu Minghe,Gu Minghe is ex-husband of Gu Qing,Gu Minghe is superior of Gu Qing,Gu Minghe is fiance of Gu Qing,,a
