value,type,question,a,b,c,d,e,truth
a,a,【Hans Li Morette】被谁杀死的？,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,【Hans Li Morette】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Hans Li Morette】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Hans Li Morette】什么人？,仇人,同事,朋友,妻子,,d
b,a,【Hans Li Morette】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【Hans Li Morette】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【Hans Li Morette】的两个人,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,实习生【Elaine Carter】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b,
b,a,【Drake Li Morette】的真实身份是什么?, 器官贩子,卧底警察,Hans Li Morette假扮的,绑匪,,c
b,a,哪件事不是【Frank Bijeli】做的?, 杀人,偷取文件,诈骗,当汤姆神父的托,,a
b,a,【Tony Bijeli】的真实身份是什么?, 绑匪,杀人凶手,卧底警察,病人,,a
b,a,【Father Tom】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
b,a,护士长【Sylvia Costa】的真实身份是什么?, 贩卖器官的帮凶,杀人凶手,卧底警察,有特殊能力的人,,a
c,a,【Elaine Carter】和【Dr. Paloski】不存在的关系是什么？,Dr. Paloski is mentor of Elaine Carter,Dr. Paloski is colleague of Elaine Carter,Dr. Paloski is subject of investigation for Elaine Carter,Elaine Carter is fondness of Dr. Paloski,,d
c,a,【Elaine Carter】和【James Lai Li】的关系是什么？,James Lai Li is suspected by x and subject of investigation for x of Elaine Carter,Elaine Carter is saved by x and landlord of James Lai Li,Elaine Carter is landlord and future relative of James Lai Li,Elaine Carter is future relative and step-daughter of James Lai Li,,a
c,a,【Elaine Carter】和【Hans Li Morette】的关系是什么？,Hans Li Morette is colleague and subject of investigation for x of Elaine Carter,Elaine Carter is elder brother and daughter in law of Hans Li Morette,Elaine Carter is daughter in law and host of Hans Li Morette,Elaine Carter is host and informant of Hans Li Morette,,a
c,a,【Drake Li Morette】和【Hans Li Morette】不存在的关系是什么？,Hans Li Morette is colleague of Drake Li Morette,Hans Li Morette is brother of Drake Li Morette,Hans Li Morette is rival in love of Drake Li Morette,Drake Li Morette is ex-girlfriend of Hans Li Morette,,d
c,a,【Drake Li Morette】和【Gale Li Morette】的关系是什么？,Gale Li Morette is extramarital affair with x and sister in law of Drake Li Morette,Drake Li Morette is master and employee of Gale Li Morette,Drake Li Morette is employee and quest companion of Gale Li Morette,Drake Li Morette is quest companion and manipulated by x of Gale Li Morette,,a
c,a,【Drake Li Morette】和【Richard Berkeley】的关系是什么？,Richard Berkeley is superior and colleague of Drake Li Morette,Drake Li Morette is fiancee and wife of Richard Berkeley,Drake Li Morette is wife and classmate of Richard Berkeley,Drake Li Morette is classmate and friend of Richard Berkeley,,a
c,a,【Hans Li Morette】和【Andrew Paloski】不存在的关系是什么？,Andrew Paloski is colleague of Hans Li Morette,Andrew Paloski is mentor of Hans Li Morette,Andrew Paloski is jealous of Hans Li Morette,Hans Li Morette is adoptive daughter of Andrew Paloski,,d
c,a,【Hans Li Morette】和【Sylvia Costa】不存在的关系是什么？,Sylvia Costa is colleague of Hans Li Morette,Sylvia Costa is manipulator of Hans Li Morette,Sylvia Costa is deceiver of Hans Li Morette,Hans Li Morette is liked by Sylvia Costa,,d
c,a,【Hans Li Morette】和【Gale Li Morette】不存在的关系是什么？,Gale Li Morette is wife of Hans Li Morette,Gale Li Morette is attempted murderer of Hans Li Morette,Gale Li Morette is betrayer of Hans Li Morette,Hans Li Morette is relative of Gale Li Morette,,d
