value,type,question,a,b,c,d,e,truth
a,a,【Hans Li Morette】被谁杀死的？,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,【Hans Li Morette】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Hans Li Morette】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【Hans Li Morette】什么人？,仇人,同事,朋友,妻子,,d
b,a,【Hans Li Morette】是在哪里被杀死的？,急诊室,约翰逊家,实验室,更衣室,,c
b,a,【Hans Li Morette】是在何时被杀死的？,今天下午5:00到5:30,今天下午6:30到7:00,今天晚上7:00到7:30,今天早上6:30到7:00,,b
b,b,请选出你最怀疑杀死【Hans Li Morette】的两个人,Gale Li Morette,护士长【Sylvia Costa】,Drake Li Morette,Frank Bijeli,,a
b,a,实习生【Elaine Carter】的真实身份是什么?, 器官贩子,卧底警察 普通实习生,绑匪,,b,
b,a,【Drake Li Morette】的真实身份是什么?, 器官贩子,卧底警察,Hans Li Morette假扮的,绑匪,,c
b,a,哪件事不是【Richard Berkeley】做的?, 挪用医院资金作为津贴,雇人偷取文件,参与器官贩卖,雇人烧毁德雷克的房子,,c
b,a,【Father Tom】的真实身份是什么?, 绑匪,杀人凶手,有着强烈欲望的大骗子,有特殊能力的人,,c
b,a,护士长【Sylvia Costa】的真实身份是什么?, 贩卖器官的帮凶,杀人凶手,卧底警察,有特殊能力的人,,a
c,a,【Tony】和【Frank Bijeli】的关系是什么？,Frank Bijeli is brother of Tony,Tony is secret admirer of Frank Bijeli,Tony is guest of Frank Bijeli,Tony is saviour of Frank Bijeli,,a
c,a,【Tony】和【Father Tom】的关系是什么？,Father Tom is manipulator of Tony,Tony is seeker of help from Father Tom,Tony is grandmother of Father Tom,Tony is ex-wife of Father Tom,,a
c,a,【Tony】和【Tony Bijeli】的关系是什么？,Tony Bijeli is same person as Tony (different reference),Tony is perpetrator of Tony Bijeli's family,Tony is subordinate of Tony Bijeli,Tony is adoptive sister of Tony Bijeli,,a
c,a,【Richard Berkeley】和【Andrew Paloski】的关系是什么？,Andrew Paloski is subordinate and colleague of Richard Berkeley,Richard Berkeley is nephew and secret crush of Andrew Paloski,Richard Berkeley is secret crush and bully of Andrew Paloski,Richard Berkeley is bully and information receiver from x of Andrew Paloski,,a
c,a,【Richard Berkeley】和【Sylvia Costa】的关系是什么？,Sylvia Costa is subordinate and colleague of Richard Berkeley,Richard Berkeley is guest and classmate of Sylvia Costa,Richard Berkeley is classmate and step-sister of Sylvia Costa,Richard Berkeley is step-sister and hate of Sylvia Costa,,a
c,a,【Richard Berkeley】和【Drake Li Morette】的关系是什么？,Drake Li Morette is subordinate and colleague of Richard Berkeley,Richard Berkeley is bully and admired by x of Drake Li Morette,Richard Berkeley is admired by x and seeker of help from x of Drake Li Morette,Richard Berkeley is seeker of help from x and son in law of Drake Li Morette,,a
