value,type,question,a,b,c,d,e,truth
a,a,"Who killed Li Yu, the Li family of Zhaomen?",Ren Shifu,Zhao Wanlei,Li Yu,Guo Wangshan instructed Qi Yue,,d
b,a,"How did Li Yu, the Li family of Zhao, die?",Shot to death,Beaten to death with a fist,Killed by explosives,Strangled by a belt,,c
b,a,"What is the motive behind the killer killing Li Yu, a member of the Zhao family?",Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Zhao Men, Li Yu. Who is this?",Enemies,Apprentice,friend,stranger,,d
b,a,"Where was Li Yu, the Li family of Zhaomen, killed?",In the manor of Jiaoshangfeng outside Zezhou Prefecture,In the silk shops of the county town,The Arsenal in Hanyang,In Zhao Wanlei's bedroom,,b
b,a,"When was Li Yu, the Li family of Zhaomen, killed?",In the early winter of the 26th year of Guangxu reign (1900),"In the 21st year of the Guangxu reign (1895), the 24th day of the second lunar month",In the third year of Xuantong (1911),today,,a
b,b,Please select the two people you most suspect of killing the Li Yu of Zhao Men,Ren Shifu,Zhao Wanlei,Li Yu,Guo Wangshan instructed Qi Yue,,d
a,a,Who killed my father Zhao Wanlei?,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,"How did Zhao Wanlei, the father, die?",Shot to death,Beaten to death with a fist,Killed by explosives,Poisoned to death by poison,,d
b,a,What is the motive behind the killer killing his father Zhao Wanlei?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim's father, Zhao Wanlei. Who is this?",Enemies,Apprentice,subordinate,stranger,,c
b,a,Where was the father Zhao Wanlei killed?,In the manor of Jiaoshangfeng outside Zezhou Prefecture,In the silk shops of the county town,The Arsenal in Hanyang,In Zhao Wanlei's bedroom,,d
b,b,"Please select the two people you most suspect of killing your father, Zhao Wanlei",Ren Shifu,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,Who is Zhao Wei's biological father?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Emperor Guangxu,,a
b,a,"Who is Zhao Luoyi, your biological father?",Zhao Wanlei,Guo Wangshan,Feng Shuangji,Emperor Guangxu,,c
b,a,Who is helping Black Wolf do some secretive business?,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Zhao Wei,,c
b,a,What is Yin Shaoming?,People from the Black Wolf Society,A kind-hearted person who mistakenly thought that Zhao Luoyi had been kidnapped and followed over feeling uneasy,Feng Shuangji's cousin and nephew,Zhao Wanlei's subordinates,,c
b,a,What is the relationship between Yin Shaoming and the butler Feng Shuangji?,Yin Shaoming is Feng Shuangji's son-in-law,Yin Shaoming and Feng Shuangji are strangers,Yin Shaoming's grandfather is Feng Shuangji's master,Yin Shaoming and Feng Shuangji are both members of the Black Wolf Society,,c
b,a,What is the actual relationship between Zhao Qiu and Qi Yue?,Siblings,Enemies,Apprentice,Father and daughter,,a
b,a,What is the actual relationship between Zhao Qiu and his father Zhao Wanlei?,【 Zhao Qiu 】 Unilateral liking of father 【 Zhao Wanlei 】,Father [Zhao Wanlei] unilaterally likes [Zhao Qiu],Father [Zhao Wanlei] was just joking about marrying [Zhao Qiu],Father Zhao Wanlei and Zhao Qiu fell in love with each other,,d
b,a,Who is Shuang Mian Hu?,Qi Yue,Zhao Wanlei,Guo Wangshan,Liao Laoban,,c
b,a,What is the purpose of coming to Danshui Mountain Villa?,Destroy the Zhao family,Discussing business with Zhao Wanlei,Propose to Zhao Wanlei,Find out the truth about the bombing case back then,,a
b,a,Who is the person from Liao's firm?,Qi Yue,Feng Shuangji,Guo Wangshan,Zhao Qiuer,,c
c,a,What is the relationship between Yin Shaoming and Zhao Luoyi?,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is twin sister and killed by x of Zhao Luoyi,Yin Shaoming is killed by x and brother of Zhao Luoyi,Yin Shaoming is brother and grandfather of Zhao Luoyi,,a
c,a,What is the relationship between Yin Shaoming and Yu Beichen?,Yu Beichen is father of Yin Shaoming,Yin Shaoming is co-wives of Yu Beichen,Yin Shaoming is boyfriend of Yu Beichen,Yin Shaoming is suspect to Yu Beichen,,a
c,a,What is the relationship between Yin Shaoming and Ren?,Ren is mother of Yin Shaoming,Yin Shaoming is neighbour of Ren,Yin Shaoming is classmate of Ren,Yin Shaoming is friend of Ren,,a
c,a,What is the non-existent relationship between Liao Laoban and Ren Shifu?,Ren Shifu is master of Liao Laoban,Ren Shifu is employee of Liao Laoban,Ren Shifu is servant of Liao Laoban,Liao Laoban is saviour of Ren Shifu,,d
c,a,What is the relationship between Liao Laoban and Guo Wangshan?,Guo Wangshan is employee of Liao Laoban,Liao Laoban is suspect to Guo Wangshan,Liao Laoban is liked by Guo Wangshan,Liao Laoban is deceiver of Guo Wangshan,,a
c,a,What is the relationship between Liao Laoban and his father Zhao Wanlei?,Zhao Wanlei is rival of Liao Laoban,Liao Laoban is father of Zhao Wanlei,Liao Laoban is liked by Zhao Wanlei,Liao Laoban is nephew of Zhao Wanlei,,a
c,a,What is the non-existent relationship between father Zhao Wanlei and Feng Shuangji?,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is Feng Shuangji's enemy's family,,d
c,a,What is the non-existent relationship between fathers Zhao Wanlei and Guo Wangshan?,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is quest companion of Guo Wangshan,,d
c,a,What is the non-existent relationship between father Zhao Wanlei and Qi Yue?,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is fiancee of Qi Yue,,d
c,a,What is the non-existent relationship between Zhao Qiu and Zhao Luoyi?,Zhao Luoyi is master of Zhao Qiuer,Zhao Luoyi is friend of Zhao Qiuer,Zhao Luoyi is jealous by Zhao Qiuer,Zhao Qiuer is sister in law of Zhao Luoyi,,d
c,a,What is the relationship between Zhao Qiu and Qi Yue?,Qi Yue is colleague and possibly family of Zhao Qiuer,Zhao Qiuer is betrayed by x and friend of Qi Yue,Zhao Qiuer is friend and thief of Qi Yue,Zhao Qiuer is thief and murderer of Qi Yue,,a
c,a,What is the relationship between Zhao Qiu and his father Zhao Wanlei?,Zhao Wanlei is employer of Zhao Qiuer,Zhao Qiuer is adoptive mother of Zhao Wanlei,Zhao Qiuer is elder brother of Zhao Wanlei,Zhao Qiuer is secret admirer of Zhao Wanlei,,a
