value,type,question,a,b,c,d,e,truth
a,a,赵门李氏【Li Yu】被谁杀死的？,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
b,a,赵门李氏【Li Yu】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀赵门李氏【Li Yu】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人赵门李氏【Li Yu】什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,赵门李氏【Li Yu】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,b
b,a,赵门李氏【Li Yu】是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死赵门李氏【Li Yu】的两个人,Ren Shifu,Zhao Wanlei,Li Yu,【Guo Wangshan】指使【Qi Yue】,,d
a,a,父亲【Zhao Wanlei】被谁杀死的？,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,,a
b,a,父亲【Zhao Wanlei】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀父亲【Zhao Wanlei】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人父亲【Zhao Wanlei】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,父亲【Zhao Wanlei】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,Zhao Wanlei的卧室里,,d
b,b,请选出你最怀疑杀死父亲【Zhao Wanlei】的两个人,Ren Shifu,Feng Shuangji,Guo Wangshan,Zhao Wei,Qi Yue,a
b,a,谁是哥哥【Zhao Wei】的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,a
b,a,谁是【Zhao Luoyi】你的亲生父亲？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,Zhao Wanlei,Guo Wangshan,Feng Shuangji,Zhao Wei,,c
b,a,【Yin Shaoming】是什么人？,黑狼会的人,误以为Zhao Luoyi被绑架了，不放心而跟过来的热心人,Feng Shuangji的表外甥,Zhao Wanlei的下属,,c
b,a,【Yin Shaoming】和管家【Feng Shuangji】是什么关系？,Yin Shaoming是Feng Shuangji的女婿,Yin Shaoming和Feng Shuangji是陌生人,Yin Shaoming的外公是Feng Shuangji的师父,Yin Shaoming和Feng Shuangji都是黑狼会的人,,c
b,a,【Zhao Qiuer】和【Qi Yue】实际上是什么关系？,兄妹,仇人,徒弟,父女,,a
b,a,【Zhao Qiuer】和父亲【Zhao Wanlei】实际上是什么关系？,【Zhao Qiuer】单方面喜欢父亲【Zhao Wanlei】,父亲【Zhao Wanlei】单方面喜欢【Zhao Qiuer】,父亲【Zhao Wanlei】只是开玩笑要娶【Zhao Qiuer】,父亲【Zhao Wanlei】和【Zhao Qiuer】两情相悦,,d
b,a,【Shuang Mian Hu】是谁？,Qi Yue,Zhao Wanlei,Guo Wangshan,Liao Laoban,,c
b,a,【Guo Wangshan】来丹水山庄有什么目的？,毁掉赵家,和Zhao Wanlei谈生意,向Zhao Wanlei提亲,找出当年爆炸案的真相,,a
b,a,谁是廖氏商行的人？,Qi Yue,Feng Shuangji,Guo Wangshan,Zhao Qiuer,,c
c,a,【Yin Shaoming】和【Zhao Luoyi】的关系是什么？,Zhao Luoyi is seeker of help from x and secret admirer of Yin Shaoming,Yin Shaoming is twin sister and killed by x of Zhao Luoyi,Yin Shaoming is killed by x and brother of Zhao Luoyi,Yin Shaoming is brother and grandfather of Zhao Luoyi,,a
c,a,【Yin Shaoming】和【Yu Beichen】的关系是什么？,Yu Beichen is father of Yin Shaoming,Yin Shaoming is co-wives of Yu Beichen,Yin Shaoming is boyfriend of Yu Beichen,Yin Shaoming is suspect to Yu Beichen,,a
c,a,【Yin Shaoming】和【Ren】的关系是什么？,Ren is mother of Yin Shaoming,Yin Shaoming is neighbour of Ren,Yin Shaoming is classmate of Ren,Yin Shaoming is friend of Ren,,a
c,a,【Liao Laoban】和【Ren Shifu】不存在的关系是什么？,Ren Shifu is master of Liao Laoban,Ren Shifu is employee of Liao Laoban,Ren Shifu is servant of Liao Laoban,Liao Laoban is saviour of Ren Shifu,,d
c,a,【Liao Laoban】和【Guo Wangshan】的关系是什么？,Guo Wangshan is employee of Liao Laoban,Liao Laoban is suspect to Guo Wangshan,Liao Laoban is liked by Guo Wangshan,Liao Laoban is deceiver of Guo Wangshan,,a
c,a,【Liao Laoban】和父亲【Zhao Wanlei】的关系是什么？,Zhao Wanlei is rival of Liao Laoban,Liao Laoban is father of Zhao Wanlei,Liao Laoban is liked by Zhao Wanlei,Liao Laoban is nephew of Zhao Wanlei,,a
c,a,父亲【Zhao Wanlei】和【Feng Shuangji】不存在的关系是什么？,Feng Shuangji is schoolmate of Zhao Wanlei,Feng Shuangji is servant of Zhao Wanlei,Feng Shuangji is employee of Zhao Wanlei,Zhao Wanlei is Feng Shuangji's enemy's family,,d
c,a,父亲【Zhao Wanlei】和【Guo Wangshan】不存在的关系是什么？,Guo Wangshan is Business Partner of X,Guo Wangshan is Attempted Murderer of X,Guo Wangshan is Perpetrator of X's family,Zhao Wanlei is quest companion of Guo Wangshan,,d
c,a,父亲【Zhao Wanlei】和【Qi Yue】不存在的关系是什么？,Qi Yue is employee of Zhao Wanlei,Qi Yue is servant of Zhao Wanlei,Qi Yue is Perpetrator of X's family,Zhao Wanlei is fiancee of Qi Yue,,d
c,a,【Zhao Qiuer】和【Zhao Luoyi】不存在的关系是什么？,Zhao Luoyi is master of Zhao Qiuer,Zhao Luoyi is friend of Zhao Qiuer,Zhao Luoyi is jealous by Zhao Qiuer,Zhao Qiuer is sister in law of Zhao Luoyi,,d
c,a,【Zhao Qiuer】和【Qi Yue】的关系是什么？,Qi Yue is colleague and possibly family of Zhao Qiuer,Zhao Qiuer is betrayed by x and friend of Qi Yue,Zhao Qiuer is friend and thief of Qi Yue,Zhao Qiuer is thief and murderer of Qi Yue,,a
c,a,【Zhao Qiuer】和父亲【Zhao Wanlei】的关系是什么？,Zhao Wanlei is employer of Zhao Qiuer,Zhao Qiuer is adoptive mother of Zhao Wanlei,Zhao Qiuer is elder brother of Zhao Wanlei,Zhao Qiuer is secret admirer of Zhao Wanlei,,a
