value,type,question,a,b,c,d,e,truth
a,a,父亲【Zhou Mengdang】被谁杀死的？,Zhou Chitong,Xi Yan,Yu Sunian,Tian Chou,,d
b,a,父亲【Zhou Mengdang】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀父亲【Zhou Mengdang】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人父亲【Zhou Mengdang】什么人？,仇人,同事,朋友,上级,,a
b,a,父亲【Zhou Mengdang】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死父亲【Zhou Mengdang】的两个人,Zhou Chitong,Xi Yan,Tian Chou,Yu Sunian,Yannan,c
a,a,母亲【Yu Shi】被谁杀死的？,Yu Sunian,Xi Yan,Xi Yan,Tian Chou,,d
b,a,母亲【Yu Shi】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀母亲【Yu Shi】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人母亲【Yu Shi】什么人？,仇人,母亲,律师,医生,,a
b,a,母亲【Yu Shi】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死母亲【Yu Shi】的两个人,Tian Chou,Zhou Chitong,Yu Sunian,Xi Yan,Yannan,a
a,a,【Cui Shouheng】被谁杀死的？,Zhou Chitong,Yu Sunian,Xi Yan,Tian Chou,,b
b,a,【Cui Shouheng】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【Cui Shouheng】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Cui Shouheng】什么人？,仇人,同事,朋友,上级,,a
b,a,【Cui Shouheng】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【Cui Shouheng】的两个人,Zhou Chitong,Xi Yan,Tian Chou,Yu Sunian,Yannan,d
a,a,Taitai(Wang Xi Rong)被谁杀死的？,Yu Sunian,Xi Yan,Zhou Chitong,Tian Chou,,a
b,a,Taitai(Wang Xi Rong)是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀Taitai(Wang Xi Rong)的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人Taitai(Wang Xi Rong)什么人？,下属,母亲,律师,医生,,a
b,a,Taitai(Wang Xi Rong)是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死Taitai(Wang Xi Rong)的两个人,Tian Chou,Zhou Chitong,Yu Sunian,Xi Yan,Yannan,c
b,a,【Yu Sunian】和【Yannan】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
b,a,【Zhou Chitong】和【Tian Chou】真实关系是什么？,没有关系,恋人关系,Tian Chou在利用Zhou Chitong,兄妹关系,,c
