value,type,question,a,b,c,d,e,truth
a,a,Who killed Hans Li Morette?,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
b,a,How did Hans Li Morette die?,Shot to death,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What was the motive behind the killer killing Hans Li Morette?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,"The perpetrator is the victim, Hans Li Morette. Who is that?",Enemies,colleague,friend,wife,,d
b,a,Where was Hans Li Morette killed?,emergency room,Johnson Family,laboratory,dressing room,,c
b,a,When was Hans Li Morette killed?,This afternoon from 5:00 to 5:30,This afternoon from 6:30 to 7:00,Tonight from 7:00 to 7:30,This morning from 6:30 to 7:00,,b
b,b,Please select the two people you most suspect of killing Hans Li Morette,Gale Li Morette,Nurse head [Sylvia Costa],Drake Li Morette,Frank Bijeli,,a
a,a,Who is helping organ traffickers sell organs in the hospital?, Drake Li Morette,Nurse head Sylvia Costa,no one,Andrew Paloski,,b
a,a,Who is an organ dealer?,Tony Bigley,Father Tom,Dean [Richard Berkeley],James Lai Li,,d
b,a,What is the true identity of Drake Li Morette?,Organ traffickers,Undercover Cop ,Hans Li Morette disguised himself as,Kidnappers,,c
b,a,What was not done by Frank Bijeli?,murder,Stealing files,Fraud,When Father Tom's request,,a
b,a,What is Tony Bijeli's true identity?,Kidnappers,Killer,Undercover Cop ,patient,,a
b,a,What was not done by Richard Berkeley?,Appropriating hospital funds as allowances,Hiring someone to steal documents,Participate in organ trafficking,Hiring someone to burn down Drake's house,,c
b,a,What is Father Tom's true identity?,Kidnappers,Killer,A big scammer with a strong desire,People with special abilities,,c
c,a,What is the relationship between Frank Bijeli and Tony?,Tony is brother of Frank Bijeli,Frank Bijeli is perpetrator of Tony,Frank Bijeli is perpetrator of Tony,Frank Bijeli is student of Tony,,a
c,a,What is the relationship between Frank Bijeli and Father Tom?,Father Tom is employer of Frank Bijeli,Frank Bijeli is step-son of Father Tom,Frank Bijeli is admired by Father Tom,Frank Bijeli is subject of investigation for Father Tom,,a
c,a,What is the relationship between Frank Bijeli and Drake Li Morette?,Drake Li Morette is doctor of Frank Bijeli,Frank Bijeli is rival in love of Drake Li Morette,Frank Bijeli is jealous by Drake Li Morette,Frank Bijeli is rebellion against Drake Li Morette,,a
c,a,What is the relationship between Tony and Frank Bijeli?,Frank Bijeli is brother of Tony,Tony is helped by Frank Bijeli,Tony is business partner of Frank Bijeli,Tony is ex-romantic relationships with Frank Bijeli,,a
c,a,What is the relationship between Tony and Father Tom?,Father Tom is manipulator of Tony,Tony is fondness of Father Tom,Tony is adoptive son of Father Tom,Tony is admired by Father Tom,,a
c,a,What is the relationship between Tony and Tony Bijeli?,Tony Bijeli is same person as Tony (different reference),Tony is adversary of Tony Bijeli,Tony is landlord of Tony Bijeli,Tony is superior of Tony Bijeli,,a
c,a,What is the non-existent relationship between Head Nurse Costa and Hans Li Morette?,Hans Li Morette is colleague of Head Nurse Costa,Hans Li Morette is manipulated by Head Nurse Costa,Hans Li Morette is deceived by Head Nurse Costa,Head Nurse Costa is helped by Hans Li Morette,,d
c,a,What is the relationship between Head Nurse Costa and Richard Berkeley?,Richard Berkeley is superior and colleague of Head Nurse Costa,Head Nurse Costa is seeker of help from x and manipulated by x of Richard Berkeley,Head Nurse Costa is manipulated by x and dislike of Richard Berkeley,Head Nurse Costa is dislike and classmate of Richard Berkeley,,a
c,a,What is the relationship between Head Nurse Costa and James Lai Li?,James Lai Li is creditor and manipulator of Head Nurse Costa,Head Nurse Costa is younger brother and adoptive father of James Lai Li,Head Nurse Costa is adoptive father and helped by x of James Lai Li,Head Nurse Costa is helped by x and son of James Lai Li,,a
c,a,What is the relationship between Richard Berkeley and Andrew Paloski?,Andrew Paloski is subordinate and colleague of Richard Berkeley,Richard Berkeley is co-wives and murderer of Andrew Paloski,Richard Berkeley is murderer and sister of Andrew Paloski,Richard Berkeley is sister and fiancee of Andrew Paloski,,a
c,a,What is the relationship between Richard Berkeley and Sylvia Costa?,Sylvia Costa is subordinate and colleague of Richard Berkeley,Richard Berkeley is niece and husband of Sylvia Costa,Richard Berkeley is husband and father of Sylvia Costa,Richard Berkeley is father and hated by x of Sylvia Costa,,a
c,a,What is the relationship between Richard Berkeley and Drake Li Morette?,Drake Li Morette is subordinate and colleague of Richard Berkeley,Richard Berkeley is suspicious and daughter of Drake Li Morette,Richard Berkeley is daughter and manipulator of Drake Li Morette,Richard Berkeley is manipulator and grandchild of Drake Li Morette,,a
c,a,What is the non-existent relationship between Gale Li Morette and Drake Li Morette?,Drake Li Morette is extramarital affair with Gale Li Morette,Drake Li Morette is brother in law of Gale Li Morette,Drake Li Morette is victim of Gale Li Morette,Gale Li Morette is classmate of Drake Li Morette,,d
c,a,What is the relationship between Gale Li Morette and Hans Li Morette?,Hans Li Morette is husband and betrayed by x of Gale Li Morette,Gale Li Morette is possibly family and crime partner of Hans Li Morette,Gale Li Morette is crime partner and host of Hans Li Morette,Gale Li Morette is host and sister of Hans Li Morette,,a
c,a,What is the relationship between Gale Li Morette and James Lai Li?,James Lai Li is helper and customer of Gale Li Morette,Gale Li Morette is fiance and son of James Lai Li,Gale Li Morette is son and suspected by x of James Lai Li,Gale Li Morette is suspected by x and younger sister of James Lai Li,,a
