value,type,question,a,b,c,d,e,truth
a,a,【Lin Weiren】被谁杀死的？,Lin Xi,Lin Yang,Su Yang,Shen Cheng,,c
b,a,【Lin Weiren】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Lin Weiren】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Lin Weiren】什么人？,儿子,父亲,律师,上级,,d
b,a,【Lin Weiren】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Lin Weiren】的两个人,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Gu Yu,c
a,a,【Gu Minghe】被谁杀死的？,Lin Xi,Lin Xi,Su Yang,Shen Cheng,,b
b,a,【Gu Minghe】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【Gu Minghe】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【Gu Minghe】什么人？,儿子,父亲,律师,仇人,,d
b,a,【Gu Minghe】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【Gu Minghe】的两个人,Lin Xi,Lin Yang,Su Yang,Shen Cheng,Lin Xi,e
c,a,【Lin Xi】和【Gu Qing】不存在的关系是什么？,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is aunt of Gu Qing,,d
c,a,【Lin Xi】和【Lin Yang】的关系是什么？,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is service provider and admirer of Lin Yang,Lin Xi is admirer and helped by x of Lin Yang,Lin Xi is helped by x and debtor of Lin Yang,,a
c,a,【Lin Xi】和【Chen Jingwen】的关系是什么？,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is customer and admirer of Chen Jingwen,Lin Xi is admirer and future father in law of Chen Jingwen,Lin Xi is future father in law and grandfather of Chen Jingwen,,a
c,a,【Lin Weiren】和【Shen Cheng】不存在的关系是什么？,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is mother of Shen Cheng,,d
c,a,【Lin Weiren】和【Su Yang】不存在的关系是什么？,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is host of Su Yang,,d
c,a,【Lin Weiren】和【Lin Yang】的关系是什么？,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is creditor and debtor of Lin Yang,Lin Weiren is debtor and secret lover of Lin Yang,Lin Weiren is secret lover and colleague of Lin Yang,,a
c,a,【Gu Yu】和【Lin Xi】不存在的关系是什么？,Lin Xi is ex-girlfriend of Gu Yu,Lin Xi is fondness of Gu Yu,Lin Xi is friend of Gu Yu,Gu Yu is betrayer of Lin Xi,,d
c,a,【Gu Yu】和【Chen Jingwen】的关系是什么？,Chen Jingwen is romantic relationships with x and hate of Gu Yu,Gu Yu is superior and employer of Chen Jingwen,Gu Yu is employer and sister of Chen Jingwen,Gu Yu is sister and mother of Chen Jingwen,,a
c,a,【Gu Yu】和【Gu Minghe】的关系是什么？,Gu Minghe is father and superior of Gu Yu,Gu Yu is sworn brother and co-wives of Gu Minghe,Gu Yu is co-wives and perpetrator 's family of Gu Minghe,Gu Yu is perpetrator 's family and secret admirer of Gu Minghe,,a
c,a,【Gu Minghe】和【Gu Yu】的关系是什么？,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is concubine and victim of Gu Yu,Gu Minghe is victim and saviour of Gu Yu,Gu Minghe is saviour and enemy of Gu Yu,,a
c,a,【Gu Minghe】和【Shen Cheng】的关系是什么？,Shen Cheng is hate of Gu Minghe,Gu Minghe is son of Shen Cheng,Gu Minghe is nephew of Shen Cheng,Gu Minghe is secret admirer of Shen Cheng,,a
c,a,【Gu Minghe】和【Gu Qing】的关系是什么？,Gu Qing is daughter of Gu Minghe,Gu Minghe is saved by Gu Qing,Gu Minghe is perpetrator of Gu Qing,Gu Minghe is rebellion against Gu Qing,,a
