value,type,question,a,b,c,d,e,truth
a,a,大哥【周蒙当】被谁杀死的？,周琏逸,昔颜,于宿年,甜愁,,d
b,a,大哥【周蒙当】是怎么死的？,被弩枪射死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀大哥【周蒙当】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人大哥【周蒙当】什么人？,仇人,同事,朋友,上级,,a
b,a,大哥【周蒙当】是在哪里被杀死的？,船上,南院,山上,河边,,a
b,b,请选出你最怀疑杀死大哥【周蒙当】的两个人,周琏逸,昔颜,甜愁,于宿年,嫣楠,c
a,a,嫂子【宝柳】被谁杀死的？,于宿年,昔颜,昔颜,甜愁,,d
b,a,嫂子【宝柳】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀嫂子【宝柳】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人嫂子【宝柳】什么人？,仇人,母亲,律师,医生,,a
b,a,嫂子【宝柳】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死嫂子【宝柳】的两个人,甜愁,周琏逸,于宿年,昔颜,嫣楠,a
a,a,【崔寿亨】被谁杀死的？,周琏逸,于宿年,昔颜,甜愁,,b
b,a,【崔寿亨】是怎么死的？,被弩枪射死的,被毒药毒死的,用机关杀死的,被水淹死的,,c
b,a,凶手杀【崔寿亨】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【崔寿亨】什么人？,仇人,同事,朋友,上级,,a
b,a,【崔寿亨】是在哪里被杀死的？,家主房,南院,船上,河边,,a
b,b,请选出你最怀疑杀死【崔寿亨】的两个人,周琏逸,昔颜,甜愁,于宿年,嫣楠,d
a,a,太太【汪昔容】被谁杀死的？,于宿年,昔颜,周琏逸,甜愁,,a
b,a,太太【汪昔容】是怎么死的？,被毒药毒死的,被拳头打死的,用石头砸死的,被水淹死的,,a
b,a,凶手杀太太【汪昔容】的动机是什么？,情杀,仇杀,利益,误杀,,d
b,a,凶手是被害人太太【汪昔容】什么人？,下属,母亲,律师,医生,,a
b,a,太太【汪昔容】是在哪里被杀死的？,屋子里,山上,船上,河边,,a
b,b,请选出你最怀疑杀死太太【汪昔容】的两个人,甜愁,周琏逸,于宿年,昔颜,嫣楠,c
b,a,【于宿年】和【嫣楠】真实关系是什么？,师生关系,恋人关系,没有关系,兄妹关系,,b
c,a,嫂子【宝柳】和【甜愁】不存在的关系是什么？,甜愁 is friend of 嫂子【宝柳】,甜愁 is helped by 嫂子【宝柳】,甜愁 is betrayed by 嫂子【宝柳】,嫂子【宝柳】 is future son in law of 甜愁,,d
c,a,嫂子【宝柳】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 嫂子【宝柳】,嫂子【宝柳】 is ex-wife and bully of 汪昔容,嫂子【宝柳】 is bully and future mother in law of 汪昔容,嫂子【宝柳】 is future mother in law and relative of 汪昔容,,a
c,a,嫂子【宝柳】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 嫂子【宝柳】,嫂子【宝柳】 is father and adoptive sister of 汪昔颜,嫂子【宝柳】 is adoptive sister and father in law of 汪昔颜,嫂子【宝柳】 is father in law and boyfriend of 汪昔颜,,a
c,a,大哥【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is in the lawsuit against 崔寿亨,,d
