value,type,question,a,b,c,d,e,truth
a,a,大哥【Xia Bolong】被谁杀死的？,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
b,a,大哥【Xia Bolong】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀大哥【Xia Bolong】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人大哥【Xia Bolong】什么人？,仇人,兄弟,朋友,情人,,b
b,a,大哥【Xia Bolong】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死大哥【Xia Bolong】的两个人,Xia Sanhu,Xia Zhongpeng,Li Zicai,Duan Hejun,,a
a,a,【Wu Baian】被谁杀死的？,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,b
b,a,【Wu Baian】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【Wu Baian】的动机是什么？,情杀,仇杀,利益,误杀,,bb
b,a,凶手是被害人【Wu Baian】什么人？,仇人,同事,朋友,妻子,,a
b,a,【Wu Baian】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,Wu Baian家,,a
b,a,【Wu Baian】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【Wu Baian】的两个人,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,a
b,a,三弟【Xia Sanhu】和【Yu Zu Chengmu】是什么关系?, 三弟【Xia Sanhu】被【Yu Zu Chengmu】设下圈套骗了钱,三弟【Xia Sanhu】和【Yu Zu Chengmu】是好朋友,【Yu Zu Chengmu】是三弟【Xia Sanhu】的徒弟,【Yu Zu Chengmu】是三弟【Xia Sanhu】的上司,,c
b,a, 是谁在Xia Sanhu房里偷袭了A'e【Xia Shue】?, Xia Sanhu,Yu Zu Chengmu,Aming【Luo Ming】,Duan Yuetong,,b
b,a,【内宅】库房里的家具是怎么来的?, 三弟【Xia Sanhu】被人骗了买的假货,大正天皇的寿辰大典礼物,【Yu Zu Chengmu】寄存的,三弟【Xia Sanhu】买来自己用的,,a
b,a,【Duan Yuetong】的亲生父亲是谁？,大哥【Xia Bolong】,Xia Zhongpeng,Xia Sanhu,Li Zicai,,a
b,b,是谁拿走了黄金奖牌？,Yu Zu Chengmu,Aming【Luo Ming】,Yue Dongwen,Duan Yuetong,,a
b,a,三弟【Xia Sanhu】如何染上赌瘾？,被【Yu Zu Chengmu】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【Yu Zu Chengmu】是什么人？, “嘉善堂”医馆的Li Zicai的弟弟,田吉株式会社的创办人,Xia Sanhu的日本人同学,【Xia Bolong】的私生子,,a
b,a,Aming【Luo Ming】和【Yu Zu Chengmu】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,Aming【Luo Ming】的真实身份是什么？, 大哥【Xia Bolong】的私生子,在码头工作的孤儿Luo Ming,“嘉善堂”医馆的Li Zicai的儿子,【Yu Zu Chengmu】的眼线,,c
b,a,【Yue Dongwen】在隐瞒什么？, 他的公司卖假药,Wu Baian卖出过能致人死亡的“虫杀灵”,他是杀人凶手,他是Duan Yuetong的亲生父亲,,b
c,a,三弟【Xia Sanhu】和【Luo Ming】不存在的关系是什么？,Luo Ming is student of Xia Sanhu,Luo Ming is subordinate of Xia Sanhu,Luo Ming is victim of Xia Sanhu,Xia Sanhu is possibly family of Luo Ming,,d
c,a,三弟【Xia Sanhu】和【Yu Zu Chengmu】不存在的关系是什么？,Yu Zu Chengmu is creditor of Xia Sanhu,Yu Zu Chengmu is deceiver of Xia Sanhu,Yu Zu Chengmu is victim of Xia Sanhu,Xia Sanhu is friend of Yu Zu Chengmu,,d
