value,type,question,a,b,c,d,e,truth
a,a,赵门李氏【李郁】被谁杀死的？,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
b,a,赵门李氏【李郁】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被腰带勒死的,,c
b,a,凶手杀赵门李氏【李郁】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人赵门李氏【李郁】什么人？,仇人,徒弟,朋友,陌生人,,d
b,a,赵门李氏【李郁】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,b
b,a,赵门李氏【李郁】是在何时被杀死的？,光绪二十六年（1900年）冬初,光绪二十一年（1895年）农历二月二十四,宣统三年（1911年）,今天,,a
b,b,请选出你最怀疑杀死赵门李氏【李郁】的两个人,任师父,赵万雷,李郁,【郭忘山】指使【齐岳】,,d
a,a,父亲【赵万雷】被谁杀死的？,冯双骥,郭忘山,赵卫,齐岳,,a
b,a,父亲【赵万雷】是怎么死的？,被枪打死的,被拳头打死的,被炸药炸死的,被毒药毒死的,,d
b,a,凶手杀父亲【赵万雷】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人父亲【赵万雷】什么人？,仇人,徒弟,下属,陌生人,,c
b,a,父亲【赵万雷】是在哪里被杀死的？,泽州府外的角山东峰的庄园中,县城的绸缎铺里,汉阳的兵工厂,赵万雷的卧室里,,d
b,b,请选出你最怀疑杀死父亲【赵万雷】的两个人,任师父,冯双骥,郭忘山,赵卫,齐岳,a
b,a,谁是哥哥【赵卫】的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,a
b,a,谁是【赵洛意】你的亲生父亲？,赵万雷,郭忘山,冯双骥,光绪皇帝,,c
b,a,谁在帮助黑狼会做一些隐秘的生意？,赵万雷,郭忘山,冯双骥,赵卫,,c
b,a,【尹少鸣】是什么人？,黑狼会的人,"误以为赵洛意被绑架了，不放心而跟过来的热心人",冯双骥的表外甥,赵万雷的下属,,c
b,a,【尹少鸣】和管家【冯双骥】是什么关系？,尹少鸣是冯双骥的女婿,尹少鸣和冯双骥是陌生人,尹少鸣的外公是冯双骥的师父,尹少鸣和冯双骥都是黑狼会的人,,c
b,a,【赵秋儿】和【齐岳】实际上是什么关系？,兄妹,仇人,徒弟,父女,,a
b,a,【赵秋儿】和父亲【赵万雷】实际上是什么关系？,【赵秋儿】单方面喜欢父亲【赵万雷】,父亲【赵万雷】单方面喜欢【赵秋儿】,父亲【赵万雷】只是开玩笑要娶【赵秋儿】,父亲【赵万雷】和【赵秋儿】两情相悦,,d
b,a,【双面虎】是谁？,齐岳,赵万雷,郭忘山,廖老板,,c
b,a,【郭忘山】来丹水山庄有什么目的？,毁掉赵家,和赵万雷谈生意,向赵万雷提亲,找出当年爆炸案的真相,,a
b,a,谁是廖氏商行的人？,齐岳,冯双骥,郭忘山,赵秋儿,,c
c,a,【尹少鸣】和【赵洛意】的关系是什么？,赵洛意 is seeker of help from x and secret admirer of 尹少鸣,尹少鸣 is twin sister and killed by x of 赵洛意,尹少鸣 is killed by x and brother of 赵洛意,尹少鸣 is brother and grandfather of 赵洛意,,a
c,a,【尹少鸣】和【虞北辰】的关系是什么？,虞北辰 is father of 尹少鸣,尹少鸣 is co-wives of 虞北辰,尹少鸣 is boyfriend of 虞北辰,尹少鸣 is suspect to 虞北辰,,a
c,a,【尹少鸣】和【任】的关系是什么？,任 is mother of 尹少鸣,尹少鸣 is neighbour of 任,尹少鸣 is classmate of 任,尹少鸣 is friend of 任,,a
c,a,【廖老板】和【任师父】不存在的关系是什么？,任师父 is master of 廖老板,任师父 is employee of 廖老板,任师父 is servant of 廖老板,廖老板 is saviour of 任师父,,d
c,a,【廖老板】和【郭望山】的关系是什么？,郭望山 is employee of 廖老板,廖老板 is suspect to 郭望山,廖老板 is liked by 郭望山,廖老板 is deceiver of 郭望山,,a
c,a,【廖老板】和父亲【赵万雷】的关系是什么？,赵万雷 is rival of 廖老板,廖老板 is father of 赵万雷,廖老板 is liked by 赵万雷,廖老板 is nephew of 赵万雷,,a
c,a,父亲【赵万雷】和【冯双骥】不存在的关系是什么？,冯双骥 is schoolmate of 赵万雷,冯双骥 is servant of 赵万雷,冯双骥 is employee of 赵万雷,赵万雷 is 冯双骥's enemy's family,,d
c,a,父亲【赵万雷】和【郭望山】不存在的关系是什么？,郭望山 is Business Partner of X,郭望山 is Attempted Murderer of X,郭望山 is Perpetrator of X's family,赵万雷 is quest companion of 郭望山,,d
c,a,父亲【赵万雷】和【齐岳】不存在的关系是什么？,齐岳 is employee of 赵万雷,齐岳 is servant of 赵万雷,齐岳 is Perpetrator of X's family,赵万雷 is fiancee of 齐岳,,d
c,a,【赵秋儿】和【赵洛意】不存在的关系是什么？,赵洛意 is master of 赵秋儿,赵洛意 is friend of 赵秋儿,赵洛意 is jealous by 赵秋儿,赵秋儿 is sister in law of 赵洛意,,d
c,a,【赵秋儿】和【齐岳】的关系是什么？,齐岳 is colleague and possibly family of 赵秋儿,赵秋儿 is betrayed by x and friend of 齐岳,赵秋儿 is friend and thief of 齐岳,赵秋儿 is thief and murderer of 齐岳,,a
c,a,【赵秋儿】和父亲【赵万雷】的关系是什么？,赵万雷 is employer of 赵秋儿,赵秋儿 is adoptive mother of 赵万雷,赵秋儿 is elder brother of 赵万雷,赵秋儿 is secret admirer of 赵万雷,,a
