value,type,question,a,b,c,d,e,truth
c,a,【于氏】和【甜愁】不存在的关系是什么？,甜愁 is friend of 于氏,甜愁 is helped by 于氏,甜愁 is betrayed by 于氏,于氏 is ex-wife of 甜愁,,d
c,a,【于氏】和【汪昔容】的关系是什么？,汪昔容 is master and helper of 于氏,于氏 is daughter in law and step-father of 汪昔容,于氏 is step-father and x's victim's family of 汪昔容,于氏 is x's victim's family and younger sister of 汪昔容,,a
c,a,【于氏】和【汪昔颜】的关系是什么？,汪昔颜 is master and bully of 于氏,于氏 is brother and neighbour of 汪昔颜,于氏 is neighbour and ex-boyfriend of 汪昔颜,于氏 is ex-boyfriend and step-brother of 汪昔颜,,a
c,a,【周蒙当】和【崔寿亨】不存在的关系是什么？,崔寿亨 is helper of 周蒙当,崔寿亨 is master of 周蒙当,崔寿亨 is employer of 周蒙当,周蒙当 is thief of 崔寿亨,,d
c,a,【周蒙当】和【汪昔颜】不存在的关系是什么？,汪昔颜 is friend of 周蒙当,汪昔颜 is ex-romantic relationships with 周蒙当,汪昔颜 is extramarital affair with 周蒙当,周蒙当 is adoptive sister of 汪昔颜,,d
c,a,【周蒙当】和【宝柳】的关系是什么？,宝柳 is wife of 周蒙当,周蒙当 is jealous of 宝柳,周蒙当 is mother in law of 宝柳,周蒙当 is murderer of 宝柳,,a
c,a,【太太】和【宝柳】的关系是什么？,宝柳 is helped by x and servant of 太太,太太 is co-wives and adversary of 宝柳,太太 is adversary and younger brother of 宝柳,太太 is younger brother and rival of 宝柳,,a
c,a,【太太】和【汪昔颜】的关系是什么？,汪昔颜 is sister and co-wives of 太太,太太 is teacher and patient of 汪昔颜,太太 is patient and manipulated by x of 汪昔颜,太太 is manipulated by x and jealous by x of 汪昔颜,,a
c,a,【太太】和【汪舜明】的关系是什么？,汪舜明 is father of 太太,太太 is secret crush of 汪舜明,太太 is neighbour of 汪舜明,太太 is dislike of 汪舜明,,a
c,a,【崔寿亨】和【周蒙当】不存在的关系是什么？,周蒙当 is minion of 崔寿亨,周蒙当 is servant of 崔寿亨,周蒙当 is employee of 崔寿亨,崔寿亨 is possibly family of 周蒙当,,d
c,a,【崔寿亨】和【周持同】不存在的关系是什么？,周持同 is helped by 崔寿亨,周持同 is thief of 崔寿亨,周持同 is business partner of 崔寿亨,崔寿亨 is future father in law of 周持同,,d
c,a,【崔寿亨】和【汪昔颜】的关系是什么？,汪昔颜 is sister in law and wife of 崔寿亨,崔寿亨 is rebellion against x and perpetrator of 汪昔颜,崔寿亨 is perpetrator and service provider of 汪昔颜,崔寿亨 is service provider and guest of 汪昔颜,,a
