value,type,question,a,b,c,d,e,truth
a,a,Who killed Liu Qi?,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Captain Hong,,a
b,a,How did Liu Qi die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Killed with a gun,,d
b,a,What is the motive behind the killer killing Liu Qi?,Love killing,Vendetta,interest,Accidental killing,,c
b,a,The perpetrator is the victim Liu Qi. Who is it?,Son,father,lawyer,Superior,,d
b,a,Where was Liu Qi killed?,In the warehouse,ashore ,On deck,Riverside,,a
b,a,When was Liu Qi killed?,After the fireworks start at 20 o'clock,Before the fireworks start at 20:00,In the early morning,During the day,,a
b,b,Please select the two people you most suspect of killing Liu Qi,Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin,Captain Hong,,c
c,a,What is the non-existent relationship between Manager Xi and Liu Qi?,Liu Qi is victim of Manager Xiu,Liu Qi is classmate of Manager Xiu,Liu Qi is colleague of Manager Xiu,Manager Xiu is step-daughter of Liu Qi,,d
c,a,What is the relationship between Manager Xi and Han Chengwu (Han the Attendant or Han the Crew Member)?,Han Chengwu (Han the Attendant or Han the Crew Member) is friend and fondness of Manager Xiu,Manager Xiu is brother and minion of Han Chengwu (Han the Attendant or Han the Crew Member),Manager Xiu is minion and disliked by x of Han Chengwu (Han the Attendant or Han the Crew Member),Manager Xiu is disliked by x and nephew of Han Chengwu (Han the Attendant or Han the Crew Member),,a
c,a,What is the relationship between Manager Xi and Captain Hong?,Captain Hong is acquaintance of Manager Xiu,Manager Xiu is ex-husband of Captain Hong,Manager Xiu is liked by Captain Hong,Manager Xiu is betrayed by Captain Hong,,a
c,a,What is the non-existent relationship between Liu Qi and Manager Xi?,Manager Xiu is murderer of Liu Qi,Manager Xiu is classmate of Liu Qi,Manager Xiu is colleague of Liu Qi,Liu Qi is secret crush of Manager Xiu,,d
c,a,What is the non-existent relationship between Liu Qi and Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)?,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is bully of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is subordinate of Liu Qi,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is dislike of Liu Qi,Liu Qi is mother in law of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),,d
c,a,What is the relationship between Liu Qi and Singer Lin?,Singer Lin is secret admirer and fondness of Liu Qi,Liu Qi is in the lawsuit against x and twin sister of Singer Lin,Liu Qi is twin sister and half sister of Singer Lin,Liu Qi is half sister and aunt of Singer Lin,,a
c,a,What is the non-existent relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Liu Qi?,Liu Qi is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Liu Qi is superior of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is mother of Liu Qi,,d
c,a,What is the relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Captain Hong?,Captain Hong is acquaintance and dislike of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is nephew and sister in law of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is sister in law and adoptive son of Captain Hong,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is adoptive son and cousin of Captain Hong,,a
c,a,What is the relationship between Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) and Manager Xi?,Manager Xiu is acquaintance of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is future father in law of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is possibly family of Manager Xiu,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is adoptive mother of Manager Xiu,,a
c,a,What is the relationship between Singer Lin and Liu Qi?,Liu Qi is helper and fondness of Singer Lin,Singer Lin is business partner and daughter of Liu Qi,Singer Lin is daughter and relative of Liu Qi,Singer Lin is relative and unsuccessful helper of Liu Qi,,a
c,a,What is the relationship between Singer Lin and Manager Xi?,Manager Xiu is superior of Singer Lin,Singer Lin is perpetrator of Manager Xiu,Singer Lin is possibly family of Manager Xiu,Singer Lin is boyfriend of Manager Xiu,,a
c,a,What is the relationship between Singer Lin and Zhang Erfu (Second Officer Zhang or Zhang the Second Mate)?,Zhang Erfu (Second Officer Zhang or Zhang the Second Mate) is acquaintance of Singer Lin,Singer Lin is future daughter in law of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin is creditor of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),Singer Lin is adoptive mother of Zhang Erfu (Second Officer Zhang or Zhang the Second Mate),,a
