value,type,question,a,b,c,d,e,truth
a,a,【吕名然】被谁杀死的？,承格,谭太太,韦太太,海悠,,a
b,a,【吕名然】是怎么死的？,用麻醉药麻醉后吊死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【吕名然】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【吕名然】什么人？,合作关系,父亲,舅舅,律师,,a
b,a,【吕名然】是在哪里被杀死的？,一层大厅上方,在楼顶,山上,河边,,a
b,a,【吕名然】是什么时候被杀死的？,9.28号10点左右,9.28号9点左右,9.25号,9.24号,,a
b,b,请选出你最怀疑杀死【吕名然】的两个人,承格,谭太太,海悠,韦太太,尚致,a
a,a,【戴面具的女尸】被谁杀死的？,承格,谭太太,韦太太,海悠,,a
a,a,【戴面具的女尸】是谁？,红儿,仆人,张医师,茱丽,,a
b,a,【戴面具的女尸】是怎么死的？,用枪杀死的,被拳头打死的,用绳子勒死的,被水淹死的,,c
b,a,凶手杀【戴面具的女尸】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【戴面具的女尸】什么人？,小时候熟人,母亲,律师,医生,,a
b,a,【戴面具的女尸】是在哪里被杀死的？,尚致房,储物室,河边,山上,,a
b,a,【戴面具的女尸】是什么时候被杀死的？,9.28号9点左右,9.25号,9.24号,10月,,a
b,b,请选出你最怀疑杀死【戴面具的女尸】的两个人,承格,尚致,韦太太,谭太太,海悠,a
a,a,【谭仁昌】被谁杀死的？,尚致,谭太太,韦太太,海悠,,a
b,a,【谭仁昌】是怎么死的？,用枪杀死的,被拳头打死的,用石头砸死的,被水淹死的,,c
b,a,凶手杀【谭仁昌】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【谭仁昌】什么人？,仇人,母亲,律师,医生,,a
b,a,【谭仁昌】是在哪里被杀死的？,南院,船上,河边,山上,,a
b,a,【谭仁昌】是什么时候被杀死的？,南院,船上,河边,山上,,a
b,b,请选出你最怀疑杀死【谭仁昌】的两个人,尚致,海悠,韦太太,谭太太,承格,a
b,a,【尚致】和【紫娜】真正的关系是什么？,【尚致】喜欢【紫娜】并帮她还债,【尚致】在利用【紫娜】,【尚致】和【紫娜】没有关系,【尚致】和【紫娜】是兄妹,,a
b,b,【承格】是【欣雅】的儿子吗？,不是，是冒充的,是亲生儿子,,,b
c,a,【吕名然】和【承格】不存在的关系是什么？,承格 is murderer of 吕名然,承格 is acquaintance of 吕名然,承格 is employee of 吕名然,吕名然 is father in law of 承格,,d
c,a,【吕名然】和【罗亨理】的关系是什么？,罗亨理 is superior and acquaintance of 吕名然,吕名然 is twin sister and jealous of 罗亨理,吕名然 is jealous and father of 罗亨理,吕名然 is father and biological daughter of 罗亨理,,a
c,a,【吕名然】和【谭仁昌】的关系是什么？,谭仁昌 is employer and acquaintance of 吕名然,吕名然 is hate and in the lawsuit against x of 谭仁昌,吕名然 is in the lawsuit against x and adoptive daughter of 谭仁昌,吕名然 is adoptive daughter and suspect to x of 谭仁昌,,a
c,a,【红儿】和【廖雪寒】不存在的关系是什么？,廖雪寒 is manipulator of 红儿,廖雪寒 is creditor of 红儿,廖雪寒 is helper of 红儿,红儿 is adoptive sister of 廖雪寒,,d
c,a,【红儿】和【承格】的关系是什么？,承格 is murderer of 红儿,红儿 is sibling of 承格,红儿 is step-sister of 承格,红儿 is business partner of 承格,,a
c,a,【红儿】和【欣雅】的关系是什么？,欣雅 is mother of 红儿,红儿 is spy of 欣雅,红儿 is fiancee of 欣雅,红儿 is ex-wife of 欣雅,,a
c,a,【谭仁昌】和【谭尚致】的关系是什么？,谭尚致 is deceived by x and nephew of 谭仁昌,谭仁昌 is authority over x and ex-girlfriend of 谭尚致,谭仁昌 is ex-girlfriend and helper of 谭尚致,谭仁昌 is helper and business partner of 谭尚致,,a
c,a,【谭仁昌】和【吕名然】的关系是什么？,吕名然 is acquaintance and employee of 谭仁昌,谭仁昌 is elder brother and step-daughter of 吕名然,谭仁昌 is step-daughter and wife of 吕名然,谭仁昌 is wife and extramarital affair with x of 吕名然,,a
c,a,【谭仁昌】和【承格】的关系是什么？,承格 is adoptive son and deceiver of 谭仁昌,谭仁昌 is creditor and romantic relationships with x of 承格,谭仁昌 is romantic relationships with x and fondness of 承格,谭仁昌 is fondness and buyer of 承格,,a
