value,type,question,a,b,c,d,e,truth
a,a,【夏伯龙】被谁杀死的？,夏三虎,夏仲鹏,李子材,段和君,,a
b,a,【夏伯龙】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,c
b,a,凶手杀【夏伯龙】的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人【夏伯龙】什么人？,仇人,兄弟,朋友,情人,,b
b,a,【夏伯龙】是在哪里被杀死的？,田吉株式会社,自己的房间,擂台上,“嘉善堂”医馆,,b
b,b,请选出你最怀疑杀死【夏伯龙】的两个人,夏三虎,夏仲鹏,李子材,段和君,,a
a,a,【夏三虎】被谁杀死的？,宇祖成木,夏仲鹏,阿明,段约同,,b
b,a,【夏三虎】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被腰带勒死的,,d
b,a,凶手杀【夏三虎】的动机是什么？,情杀,仇杀,利益,大义灭亲,,d
b,a,凶手是被害人【夏三虎】什么人？,仇人,徒弟,朋友,兄弟,,d
b,a,【夏三虎】是在哪里被杀死的？,田吉株式会社,自己房里,擂台上,“嘉善堂”医馆,,b
b,a,【夏三虎】是在何时被杀死的？,今天 (8月3日）18:00-18:10,今天 (8月3日）20:00-20:10,7月30日 18:00-18:10,7月20日 20:00-20:10,,a
b,b,请选出你最怀疑杀死【夏三虎】的两个人,宇祖成木,夏仲鹏,阿明,段约同,,a
a,a,【吴百安】被谁杀死的？,宇祖成木,阿明,岳东汶,段约同,,b
b,a,【吴百安】是怎么死的？,被枪打死的,被拳头打死的,被毒药毒死的,被水淹死的,,b
b,a,凶手杀【吴百安】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【吴百安】什么人？,仇人,同事,朋友,妻子,,a
b,a,【吴百安】是在哪里被杀死的？,仓库外,芙兰茜西饼店,拳馆,吴百安家,,a
b,a,【吴百安】是在何时被杀死的？,7月28日傍晚,7月29日早上,7月29日傍晚,7月30日早上,,c
b,b,请选出你最怀疑杀死【吴百安】的两个人,宇祖成木,阿明,岳东汶,段约同,,a
b,a,骗【夏三虎】买假货的人是谁？,宇祖成木和阿明,段约同,孟老爷,吴百安,,a
b,b,是谁拿走了黄金奖牌？,宇祖成木,阿明,岳东汶,段约同,,a
b,a,【夏三虎】如何染上赌瘾？,被【宇祖成木】带去赌博,缺钱花,在日本读书的时候很流行赌博,应酬需要,,a
b,a,【阿明】和【宇祖成木】是什么关系？, 叔侄,陌生人,仇人,朋友,,a
b,a,【岳客沙】最近在做什么？,赌博,做生意,拳馆学拳,研发药物,,c
b,a,【夏叔娥】和【岳客沙】的关系怎么样？,生意伙伴,师徒,敌人,恋人,,b
b,a,【夏叔娥】为什么做“实习护士”？,探寻父亲死亡的真相,挣钱,个人兴趣爱好,家里人的安排,,a
c,a,【吴百安】和【李子材】的关系是什么？,李子材 is schoolmate and quest companion of 吴百安,吴百安 is half brother and child of 李子材,吴百安 is child and colleague of 李子材,吴百安 is colleague and elder sister of 李子材,,a
c,a,【吴百安】和【夏叔娥】的关系是什么？,夏叔娥 is colleague and information receiver from x of 吴百安,吴百安 is x's victim's family and murderer of 夏叔娥,吴百安 is murderer and suspicious of 夏叔娥,吴百安 is suspicious and x's enemy's family of 夏叔娥,,a
c,a,【吴百安】和【李骆明】的关系是什么？,李骆明 is murderer of 吴百安,吴百安 is future son in law of 李骆明,吴百安 is adoptive mother of 李骆明,吴百安 is schoolmate of 李骆明,,a
c,a,【夏三虎】和【骆明】不存在的关系是什么？,骆明 is student of 夏三虎,骆明 is subordinate of 夏三虎,骆明 is victim of 夏三虎,夏三虎 is granddaughter of 骆明,,d
c,a,【夏三虎】和【宇祖成木】不存在的关系是什么？,宇祖成木 is creditor of 夏三虎,宇祖成木 is deceiver of 夏三虎,宇祖成木 is victim of 夏三虎,夏三虎 is adoptive son of 宇祖成木,,d
c,a,【夏三虎】和【夏北归】的关系是什么？,夏北归 is father and mentor of 夏三虎,夏三虎 is x's enemy's family and manipulated by x of 夏北归,夏三虎 is manipulated by x and ex-boyfriend of 夏北归,夏三虎 is ex-boyfriend and host of 夏北归,,a
c,a,【岳客沙】和【夏叔娥】不存在的关系是什么？,夏叔娥 is mentor of 岳客沙,夏叔娥 is helped by 岳客沙,夏叔娥 is perpetrator of 岳客沙,岳客沙 is child of 夏叔娥,,d
c,a,【岳客沙】和【段约同】的关系是什么？,段约同 is friend and helped by x of 岳客沙,岳客沙 is step-mother and guard of 段约同,岳客沙 is guard and perpetrator 's family of 段约同,岳客沙 is perpetrator 's family and brother of 段约同,,a
c,a,【岳客沙】和【夏仲鹏】的关系是什么？,夏仲鹏 is mentor and superior of 岳客沙,岳客沙 is jealous by x and son of 夏仲鹏,岳客沙 is son and grandchild of 夏仲鹏,岳客沙 is grandchild and hate of 夏仲鹏,,a
c,a,【李骆明】和【夏三虎】不存在的关系是什么？,夏三虎 is superior of 李骆明,夏三虎 is manipulated by 李骆明,夏三虎 is deceived by 李骆明,李骆明 is helper of 夏三虎,,d
c,a,【李骆明】和【宇祖成木】不存在的关系是什么？,宇祖成木 is uncle of 李骆明,宇祖成木 is quest companion of 李骆明,宇祖成木 is business partner of 李骆明,李骆明 is unsuccessful helper of 宇祖成木,,d
c,a,【李骆明】和【岳东汶】不存在的关系是什么？,岳东汶 is helper of 李骆明,岳东汶 is employer of 李骆明,岳东汶 is deceiver of 李骆明,李骆明 is daughter in law of 岳东汶,,d
