value,type,question,a,b,c,d,e,truth
a,a,【林惟仁】被谁杀死的？,林阳,沈城,苏阳,陈静雯,,c
b,a,【林惟仁】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀【林惟仁】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人【林惟仁】什么人？,儿子,父亲,律师,上级,,d
b,a,【林惟仁】是在哪里被杀死的？,书房,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死【林惟仁】的两个人,林阳,沈城,苏阳,陈静雯,顾宇,c
a,a,父亲【顾明和】被谁杀死的？,林阳,林夕,苏阳,陈静雯,,b
b,a,父亲【顾明和】是怎么死的？,用刀捅死的,被拳头打死的,被毒药毒死的,被水淹死的,,a
b,a,凶手杀父亲【顾明和】的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人父亲【顾明和】什么人？,儿子,父亲,律师,仇人,,d
b,a,父亲【顾明和】是在哪里被杀死的？,办公大楼,院子里,山上,河边,,a
b,b,请选出你最怀疑杀死父亲【顾明和】的两个人,林阳,沈城,苏阳,陈静雯,林夕,e
c,a,【林夕】和【顾晴】不存在的关系是什么？,顾晴 is rival in love of 林夕,顾晴 is dislike of 林夕,顾晴 is friend of 林夕,林夕 is step-sister of 顾晴,,d
c,a,【林夕】和【林阳】的关系是什么？,林阳 is adoptive brother and hate of 林夕,林夕 is business partner and ex-romantic relationships with x of 林阳,林夕 is ex-romantic relationships with x and neighbour of 林阳,林夕 is neighbour and secret admirer of 林阳,,a
c,a,【林夕】和【陈静雯】的关系是什么？,陈静雯 is acquaintance and rival in love of 林夕,林夕 is uncle and ex-husband of 陈静雯,林夕 is ex-husband and son of 陈静雯,林夕 is son and employer of 陈静雯,,a
c,a,【林惟仁】和【沈城】不存在的关系是什么？,沈城 is employee of 林惟仁,沈城 is hate of 林惟仁,沈城 is servant of 林惟仁,林惟仁 is secret crush of 沈城,,d
c,a,【林惟仁】和【苏阳】不存在的关系是什么？,苏阳 is student of 林惟仁,苏阳 is dislike of 林惟仁,苏阳 is hate of 林惟仁,林惟仁 is adoptive mother of 苏阳,,d
c,a,【林惟仁】和【林阳】的关系是什么？,林阳 is son and adoptive son of 林惟仁,林惟仁 is guest and secret admirer of 林阳,林惟仁 is secret admirer and sworn brother of 林阳,林惟仁 is sworn brother and rival in love of 林阳,,a
c,a,【顾明和】和【顾宇】的关系是什么？,顾宇 is subordinate and son of 顾明和,顾明和 is saved by x and x's enemy's family of 顾宇,顾明和 is x's enemy's family and student of 顾宇,顾明和 is student and rival of 顾宇,,a
c,a,【顾明和】和【沈城】的关系是什么？,沈城 is hate of 顾明和,顾明和 is son of 沈城,顾明和 is business partner of 沈城,顾明和 is father of 沈城,,a
c,a,【顾明和】和【顾晴】的关系是什么？,顾晴 is daughter of 顾明和,顾明和 is ex-husband of 顾晴,顾明和 is superior of 顾晴,顾明和 is fiance of 顾晴,,a
