value,type,question,a,b,c,d,e,truth
a,a,Who killed Gu Minghe?,Lin Xi,Lin Xi,Shen Cheng,Chen Jingwen,,b
b,a,How did Gu Minghe die?,Stabbed to death with a knife,Beaten to death with a fist,Poisoned to death by poison,Drowned by water,,a
b,a,What is the motive behind the killer killing Gu Minghe?,Love killing,Vendetta,interest,Accidental killing,,b
b,a,The perpetrator is the victim Gu Minghe. Who is that?,Son,father,lawyer,Enemies,,d
b,a,Where was Gu Minghe killed?,Office building,In the yard,On the mountain,Riverside,,a
b,b,Please select the two people you most suspect of killing Gu Minghe,Lin Xi,Lin Yang,Shen Cheng,Chen Jingwen,Lin Xi,e
c,a,What is the non-existent relationship between Lin Xi and Gu Qing?,Gu Qing is rival in love of Lin Xi,Gu Qing is dislike of Lin Xi,Gu Qing is friend of Lin Xi,Lin Xi is step-daughter of Gu Qing,,d
c,a,What is the relationship between Lin Xi and Lin Yang?,Lin Yang is adoptive brother and hate of Lin Xi,Lin Xi is subordinate and tenant of Lin Yang,Lin Xi is tenant and concubine of Lin Yang,Lin Xi is concubine and ex-wife of Lin Yang,,a
c,a,What is the relationship between Lin Xi and Chen Jingwen?,Chen Jingwen is acquaintance and rival in love of Lin Xi,Lin Xi is nephew and relative of Chen Jingwen,Lin Xi is relative and future daughter in law of Chen Jingwen,Lin Xi is future daughter in law and son in law of Chen Jingwen,,a
c,a,What is the relationship between Lin Tong and Shen Cheng?,Shen Cheng is father of Lin Tong,Lin Tong is informant of Shen Cheng,Lin Tong is manipulator of Shen Cheng,Lin Tong is rival of Shen Cheng,,a
c,a,What is the relationship between Lin Tong and Qin Siqi?,Qin Siqi is mother of Lin Tong,Lin Tong is seller of Qin Siqi,Lin Tong is girlfriend of Qin Siqi,Lin Tong is co-wives of Qin Siqi,,a
c,a,What is the relationship between Lin Tong and Su Yang?,Su Yang is ex-boyfriend of Lin Tong,Lin Tong is subject of investigation for Su Yang,Lin Tong is brother of Su Yang,Lin Tong is minion of Su Yang,,a
c,a,What is the non-existent relationship between Lin Weiren and Shen Cheng?,Shen Cheng is employee of Lin Weiren,Shen Cheng is hate of Lin Weiren,Shen Cheng is servant of Lin Weiren,Lin Weiren is biological father of Shen Cheng,,d
c,a,What is the non-existent relationship between Lin Weiren and Su Yang?,Su Yang is student of Lin Weiren,Su Yang is dislike of Lin Weiren,Su Yang is hate of Lin Weiren,Lin Weiren is admirer of Su Yang,,d
c,a,What is the relationship between Lin Weiren and Lin Yang?,Lin Yang is son and adoptive son of Lin Weiren,Lin Weiren is suspicious and rival of Lin Yang,Lin Weiren is rival and informant of Lin Yang,Lin Weiren is informant and murderer of Lin Yang,,a
c,a,What is the non-existent relationship between Gu Yu and Lin Xi?,Lin Xi is ex-girlfriend of Gu Yu,Lin Xi is fondness of Gu Yu,Lin Xi is friend of Gu Yu,Gu Yu is step-mother of Lin Xi,,d
c,a,What is the relationship between Gu Yu and Chen Jingwen?,Chen Jingwen is romantic relationships with x and hate of Gu Yu,Gu Yu is mentor and landlord of Chen Jingwen,Gu Yu is landlord and neighbour of Chen Jingwen,Gu Yu is neighbour and informant of Chen Jingwen,,a
c,a,What is the relationship between Gu Yu and Gu Minghe?,Gu Minghe is father and superior of Gu Yu,Gu Yu is secret admirer and x's victim's family of Gu Minghe,Gu Yu is x's victim's family and betrayer of Gu Minghe,Gu Yu is betrayer and jealous by x of Gu Minghe,,a
c,a,What is the relationship between Gu Minghe and Gu Yu?,Gu Yu is subordinate and son of Gu Minghe,Gu Minghe is betrayer and in the lawsuit against x of Gu Yu,Gu Minghe is in the lawsuit against x and rival of Gu Yu,Gu Minghe is rival and host of Gu Yu,,a
c,a,What is the relationship between Gu Minghe and Shen Cheng?,Shen Cheng is hate of Gu Minghe,Gu Minghe is step-mother of Shen Cheng,Gu Minghe is cousin of Shen Cheng,Gu Minghe is biological daughter of Shen Cheng,,a
c,a,What is the relationship between Gu Minghe and Gu Qing?,Gu Qing is daughter of Gu Minghe,Gu Minghe is tenant of Gu Qing,Gu Minghe is bully of Gu Qing,Gu Minghe is debtor of Gu Qing,,a
