value,type,question,a,b,c,d,e,truth
a,a,杨老板被谁杀死的？,张大副,王船工,雯秘书,,,a
b,a,杨老板是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,b
b,a,凶手杀杨老板的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人杨老板什么人？,律师,亲戚,儿子,商业合作伙伴,,d
b,a,杨老板是在哪里被杀死的？,甲板上,岸边,酒吧,自己的房间,,d
b,a,杨老板是什么时候被杀死的？,22:10左右,凌晨1点,上午10点,晚上8点,,a
b,b,请选出你最怀疑杀死杨老板的两个人,张大副,王船工,雯秘书,,,a
c,a,【杨老板】和【玲船医】不存在的关系是什么？,玲船医 is business partner of 杨老板,玲船医 is debtor of 杨老板,玲船医 is informant of 杨老板,杨老板 is secret lover of 玲船医,,d
c,a,【杨老板】和【张大副】的关系是什么？,张大副 is business partner and murderer of 杨老板,杨老板 is grandson and future mother in law of 张大副,杨老板 is future mother in law and step-mother of 张大副,杨老板 is step-mother and romantic relationships with x of 张大副,,a
c,a,【杨老板】和【很天真】的关系是什么？,很天真 is employee of 杨老板,杨老板 is mother in law of 很天真,杨老板 is cousin of 很天真,杨老板 is possibly family of 很天真,,a
c,a,【王船工】和【玲船医】的关系是什么？,玲船医 is acquaintance and child of 王船工,王船工 is ex-boyfriend and enemy of 玲船医,王船工 is enemy and lawyer of 玲船医,王船工 is lawyer and deceiver of 玲船医,,a
c,a,【王船工】和【杨老板】的关系是什么？,杨老板 is hate and acquaintance of 王船工,王船工 is future son in law and possibly family of 杨老板,王船工 is possibly family and granddaughter of 杨老板,王船工 is granddaughter and admirer of 杨老板,,a
c,a,【王船工】和【张大副】的关系是什么？,张大副 is superior of 王船工,王船工 is future mother in law of 张大副,王船工 is informant of 张大副,王船工 is seeker of help from 张大副,,a
c,a,【雯秘书】和【张大副】的关系是什么？,张大副 is acquaintance and business partner of 雯秘书,雯秘书 is adoptive son and future son in law of 张大副,雯秘书 is future son in law and deceived by x of 张大副,雯秘书 is deceived by x and sibling of 张大副,,a
c,a,【雯秘书】和【玲船医】的关系是什么？,玲船医 is informant and information receiver from x of 雯秘书,雯秘书 is son in law and adoptive sister of 玲船医,雯秘书 is adoptive sister and creditor of 玲船医,雯秘书 is creditor and co-wives of 玲船医,,a
c,a,【雯秘书】和【很天真】的关系是什么？,很天真 is victim and colleague of 雯秘书,雯秘书 is fiancee and grandfather of 很天真,雯秘书 is grandfather and informant of 很天真,雯秘书 is informant and seeker of help from x of 很天真,,a
c,a,【很天真】和【雯秘书】的关系是什么？,雯秘书 is murderer and colleague of 很天真,很天真 is lover and sibling of 雯秘书,很天真 is sibling and fondness of 雯秘书,很天真 is fondness and mother in law of 雯秘书,,a
c,a,【很天真】和【张大副】的关系是什么？,张大副 is brother of 很天真,很天真 is servant of 张大副,很天真 is boyfriend of 张大副,很天真 is perpetrator of 张大副's family,,a
c,a,【很天真】和【杨老板】的关系是什么？,杨老板 is employer of 很天真,很天真 is unsuccessful helper of 杨老板,很天真 is uncle of 杨老板,很天真 is crime partner of 杨老板,,a
c,a,【杨老板】和【玲船医】不存在的关系是什么？,玲船医 is business partner of 杨老板,玲船医 is debtor of 杨老板,玲船医 is informant of 杨老板,杨老板 is grandmother of 玲船医,,d
c,a,【杨老板】和【张大副】的关系是什么？,张大副 is business partner and murderer of 杨老板,杨老板 is saviour and younger brother of 张大副,杨老板 is younger brother and twin sister of 张大副,杨老板 is twin sister and neighbour of 张大副,,a
c,a,【杨老板】和【很天真】的关系是什么？,很天真 is employee of 杨老板,杨老板 is cousin of 很天真,杨老板 is future daughter in law of 很天真,杨老板 is boyfriend of 很天真,,a
c,a,【王船工】和【玲船医】的关系是什么？,玲船医 is acquaintance and child of 王船工,王船工 is secret crush and admired by x of 玲船医,王船工 is admired by x and ex-romantic relationships with x of 玲船医,王船工 is ex-romantic relationships with x and customer of 玲船医,,a
c,a,【王船工】和【杨老板】的关系是什么？,杨老板 is hate and acquaintance of 王船工,王船工 is ex-wife and biological son of 杨老板,王船工 is biological son and debtor of 杨老板,王船工 is debtor and doctor of 杨老板,,a
c,a,【王船工】和【张大副】的关系是什么？,张大副 is superior of 王船工,王船工 is son of 张大副,王船工 is ex-romantic relationships with 张大副,王船工 is deceiver of 张大副,,a
a,a,杨老板被谁杀死的？,张大副,王船工,玲船医,,,a
b,a,杨老板是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,b
b,a,凶手杀杨老板的动机是什么？,情杀,仇杀,利益,误杀,,b
b,a,凶手是被害人杨老板什么人？,律师,亲戚,儿子,商业合作伙伴,,d
b,a,杨老板是在哪里被杀死的？,甲板上,岸边,酒吧,自己的房间,,d
b,a,杨老板是什么时候被杀死的？,22:10左右,凌晨1点,上午10点,晚上8点,,a
b,b,请选出你最怀疑杀死杨老板的两个人,张大副,王船工,玲船医,,,a
c,a,【很天真】和【雯秘书】的关系是什么？,雯秘书 is murderer and colleague of 很天真,很天真 is sister in law and helped by x of 雯秘书,很天真 is helped by x and grandchild of 雯秘书,很天真 is grandchild and father of 雯秘书,,a
