value,type,question,a,b,c,d,e,truth
c,a,【弗兰克·比杰利】和【托尼】的关系是什么？,托尼 is brother of 弗兰克·比杰利,弗兰克·比杰利 is perpetrator of 托尼,弗兰克·比杰利 is perpetrator of 托尼,弗兰克·比杰利 is student of 托尼,,a
c,a,【弗兰克·比杰利】和【神父汤姆】的关系是什么？,神父汤姆 is employer of 弗兰克·比杰利,弗兰克·比杰利 is step-son of 神父汤姆,弗兰克·比杰利 is admired by 神父汤姆,弗兰克·比杰利 is subject of investigation for 神父汤姆,,a
c,a,【弗兰克·比杰利】和【德雷克·里莫瑞特】的关系是什么？,德雷克·里莫瑞特 is doctor of 弗兰克·比杰利,弗兰克·比杰利 is rival in love of 德雷克·里莫瑞特,弗兰克·比杰利 is jealous by 德雷克·里莫瑞特,弗兰克·比杰利 is rebellion against 德雷克·里莫瑞特,,a
c,a,【托尼】和【弗兰克·比杰利】的关系是什么？,弗兰克·比杰利 is brother of 托尼,托尼 is helped by 弗兰克·比杰利,托尼 is business partner of 弗兰克·比杰利,托尼 is ex-romantic relationships with 弗兰克·比杰利,,a
c,a,【托尼】和【神父汤姆】的关系是什么？,神父汤姆 is manipulator of 托尼,托尼 is fondness of 神父汤姆,托尼 is adoptive son of 神父汤姆,托尼 is admired by 神父汤姆,,a
c,a,【托尼】和【托尼·比杰利】的关系是什么？,托尼·比杰利 is same person as 托尼 (different reference),托尼 is adversary of 托尼·比杰利,托尼 is landlord of 托尼·比杰利,托尼 is superior of 托尼·比杰利,,a
c,a,【护士长科斯塔】和【汉斯·里莫瑞特】不存在的关系是什么？,汉斯·里莫瑞特 is colleague of 护士长科斯塔,汉斯·里莫瑞特 is manipulated by 护士长科斯塔,汉斯·里莫瑞特 is deceived by 护士长科斯塔,护士长科斯塔 is helped by 汉斯·里莫瑞特,,d
c,a,【护士长科斯塔】和【理查德·伯克利】的关系是什么？,理查德·伯克利 is superior and colleague of 护士长科斯塔,护士长科斯塔 is seeker of help from x and manipulated by x of 理查德·伯克利,护士长科斯塔 is manipulated by x and dislike of 理查德·伯克利,护士长科斯塔 is dislike and classmate of 理查德·伯克利,,a
c,a,【护士长科斯塔】和【詹姆斯·莱利】的关系是什么？,詹姆斯·莱利 is creditor and manipulator of 护士长科斯塔,护士长科斯塔 is younger brother and adoptive father of 詹姆斯·莱利,护士长科斯塔 is adoptive father and helped by x of 詹姆斯·莱利,护士长科斯塔 is helped by x and son of 詹姆斯·莱利,,a
c,a,【理查德·伯克利】和【安德鲁·帕洛斯基】的关系是什么？,安德鲁·帕洛斯基 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is co-wives and murderer of 安德鲁·帕洛斯基,理查德·伯克利 is murderer and sister of 安德鲁·帕洛斯基,理查德·伯克利 is sister and fiancee of 安德鲁·帕洛斯基,,a
c,a,【理查德·伯克利】和【西尔维娅·科斯塔】的关系是什么？,西尔维娅·科斯塔 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is niece and husband of 西尔维娅·科斯塔,理查德·伯克利 is husband and father of 西尔维娅·科斯塔,理查德·伯克利 is father and hated by x of 西尔维娅·科斯塔,,a
c,a,【理查德·伯克利】和【德雷克·里莫瑞特】的关系是什么？,德雷克·里莫瑞特 is subordinate and colleague of 理查德·伯克利,理查德·伯克利 is suspicious and daughter of 德雷克·里莫瑞特,理查德·伯克利 is daughter and manipulator of 德雷克·里莫瑞特,理查德·伯克利 is manipulator and grandchild of 德雷克·里莫瑞特,,a
c,a,【盖尔·里莫瑞特】和【德雷克·里莫瑞特】不存在的关系是什么？,德雷克·里莫瑞特 is extramarital affair with 盖尔·里莫瑞特,德雷克·里莫瑞特 is brother in law of 盖尔·里莫瑞特,德雷克·里莫瑞特 is victim of 盖尔·里莫瑞特,盖尔·里莫瑞特 is classmate of 德雷克·里莫瑞特,,d
c,a,【盖尔·里莫瑞特】和【汉斯·里莫瑞特】的关系是什么？,汉斯·里莫瑞特 is husband and betrayed by x of 盖尔·里莫瑞特,盖尔·里莫瑞特 is possibly family and crime partner of 汉斯·里莫瑞特,盖尔·里莫瑞特 is crime partner and host of 汉斯·里莫瑞特,盖尔·里莫瑞特 is host and sister of 汉斯·里莫瑞特,,a
c,a,【盖尔·里莫瑞特】和【詹姆斯·莱利】的关系是什么？,詹姆斯·莱利 is helper and customer of 盖尔·里莫瑞特,盖尔·里莫瑞特 is fiance and son of 詹姆斯·莱利,盖尔·里莫瑞特 is son and suspected by x of 詹姆斯·莱利,盖尔·里莫瑞特 is suspected by x and younger sister of 詹姆斯·莱利,,a
