value,type,question,a,b,c,d,e,truth
a,a,Meng Sanchun被谁杀死的？,Cai Siniang,Zhang Jinyin,Hong Jiangshui,,,c
b,a,Meng Sanchun是怎么死的？,被拳头打死的,被毒药毒死的,被水淹死的,用刀杀死的,,d
b,a,Meng Sanchun的动机是什么？,情杀,仇杀,利益,误杀,,c
b,a,凶手是被害人Meng Sanchun什么人？,律师,亲戚,儿子,上司,,d
b,a,Meng Sanchun是在哪里被杀死的？,厕所,客栈房间,山上,船上,,a
b,a,Meng Sanchun是什么时候被杀死的？,1170年10月25日晚11点,1170年10月25日凌晨1点,1170年10月25日上午10点,1170年10月25日晚上8点,,a
b,b,请选出你最怀疑杀死Meng Sanchun的两个人,Cai Siniang,Zhang Jinyin,Hong Jiangshui,,,c
c,a,【Meng Sanchun】和【Zhang Jinyin】不存在的关系是什么？,Zhang Jinyin is sworn brother of Meng Sanchun,Zhang Jinyin is deceived by Meng Sanchun,Zhang Jinyin is friend of Meng Sanchun,Meng Sanchun is service provider of Zhang Jinyin,,d
c,a,【Meng Sanchun】和【Cai Siniang】不存在的关系是什么？,Cai Siniang is employee of Meng Sanchun,Cai Siniang is dislike of Meng Sanchun,Cai Siniang is enemy of Meng Sanchun,Meng Sanchun is schoolmate of Cai Siniang,,d
c,a,【Meng Sanchun】和【Zhang Hongsheng】的关系是什么？,Zhang Hongsheng is wife and enemy of Meng Sanchun,Meng Sanchun is relative and patient of Zhang Hongsheng,Meng Sanchun is patient and grandmother of Zhang Hongsheng,Meng Sanchun is grandmother and father of Zhang Hongsheng,,a
